HostStar,HostStarClass,HostStarRadiusSlrRad,HostStarTempK,DistFromSunParsec,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarColor,HostStarMetallicity,HostStarLuminosity,HostStarMassSlrMass,RightAscension,Declination,HostStarPlanetList,DistFromSunLY,HabitablePlanets,HabitablePlanetsList,Planets,Coordinates
Kepler-127,F,1.359,6106.0,338.98,1.4500536446652057,2.089019418629333,#f8f7ff,,8.84876819464983e+26,1.2690000000000001,19 00 45,+46 01 40,"['Kepler-127 d', 'Kepler-127 c', 'Kepler-127 b']",1105.0748,0,[],3,387.3192013393292 -324.55728216422193 983.3660279273178
Kepler-1270,K,3.38,5047.0,,2.4639637962568863,3.5497088236130105,#ffd2a1,-0.02,2.5549554066227933e+27,1.28,19 06 52,+48 38 43,['Kepler-1270 b'],,0,[],1,nan
Kepler-1271,F,1.23,6143.0,,1.3283641755303794,1.9137075155141623,#f8f7ff,-0.01,7.425898163797055e+26,1.13,19 05 23,+37 24 43,['Kepler-1271 b'],,0,[],1,nan
Kepler-1272,G,1.09,5926.0,,1.0954707973882938,1.5781897288454283,#fff4ea,0.06,5.0502896788268084e+26,1.06,19 00 53,+38 48 21,['Kepler-1272 b'],,0,[],1,nan
Kepler-1273,G,0.91,5566.0,,0.8068240009730555,1.162350794158428,#fff4ea,0.03,2.7395062629820044e+26,0.94,19 03 13,+44 52 24,['Kepler-1273 b'],,0,[],1,nan
Kepler-1274,F,2.17,6179.0,,2.3710850751434336,3.4159031173915286,#f8f7ff,0.11,2.365968474604659e+27,1.45,18 58 22,+46 26 59,['Kepler-1274 b'],,0,[],1,nan
Kepler-1275,F,1.36,6296.0,,1.5428345635825431,2.2226842261415687,#f8f7ff,0.04,1.0017362712371624e+27,1.23,19 34 00,+44 55 57,['Kepler-1275 b'],,0,[],1,nan
Kepler-1276,F,1.21,6188.0,,1.3259800591535804,1.9102728388553167,#f8f7ff,-0.02,7.39926643402367e+26,1.14,19 11 26,+40 32 50,['Kepler-1276 b'],,0,[],1,nan
Kepler-1277,G,0.92,5578.0,,0.8192111595813368,1.1801963510931963,#fff4ea,-0.01,2.824271213068393e+26,0.94,19 40 25,+40 34 21,['Kepler-1277 b'],,0,[],1,nan
Kepler-1278,F,1.16,6074.0,,1.2247813847475413,1.764480994014588,#f8f7ff,0.02,6.312942501733938e+26,1.11,18 51 50,+42 49 32,['Kepler-1278 b'],,0,[],1,nan
Kepler-1279,F,1.33,6221.0,,1.4730688851204223,2.1221763190048857,#f8f7ff,0.06,9.131892541007175e+26,1.21,19 12 23,+40 21 57,['Kepler-1279 b'],,0,[],1,nan
Kepler-128,F,1.55,6090.0,368.14,1.6451946782394045,2.370149299587648,#f8f7ff,,1.1390670047721376e+27,1.17,18 49 58.128,+43 58 48.64,"['Kepler-128 b', 'Kepler-128 c']",1200.1364,0,[],2,1163.031707210891 -298.43004161529956 -2.544754425656682
Kepler-1280,F,1.32,6227.0,,1.4648146514061833,2.1102848592796613,#f8f7ff,0.04,9.029839484393837e+26,1.2,19 34 18,+45 23 04,['Kepler-1280 b'],,0,[],1,nan
Kepler-1281,G,0.83,5353.0,,0.6806495970071555,0.9805776708064272,#fff4ea,-0.04,1.949673385556456e+26,0.87,19 41 25,+48 30 55,['Kepler-1281 b'],,0,[],1,nan
Kepler-1282,G,0.89,5504.0,,0.7716100395313729,1.1116198094606005,#fff4ea,0.01,2.5055923777167333e+26,0.92,19 20 42,+46 41 54,['Kepler-1282 b'],,0,[],1,nan
Kepler-1283,F,1.25,6175.0,,1.3640646349381689,1.9651393733845517,#f8f7ff,0.04,7.830411378494178e+26,1.16,19 41 51,+40 46 37,['Kepler-1283 b'],,0,[],1,nan
Kepler-1284,K,0.79,5123.0,,0.5933716811313579,0.8548407632424765,#ffd2a1,0.03,1.4817273972597042e+26,0.84,19 25 07,+47 41 16,['Kepler-1284 b'],,0,[],1,nan
Kepler-1285,F,1.28,6170.0,,1.394541074145562,2.0090452478666085,#f8f7ff,0.16,8.184220100029474e+26,1.2,18 47 20,+44 09 21,['Kepler-1285 b'],,0,[],1,nan
Kepler-1286,G,0.98,5753.0,,0.9282518775214976,1.3372858339797915,#fff4ea,0.03,3.6261549033286444e+26,1.0,18 41 02,+43 50 09,['Kepler-1286 b'],,0,[],1,nan
Kepler-1287,G,0.94,5715.0,,0.8786407385430037,1.2658135590831474,#fff4ea,-0.05,3.2489075333540826e+26,0.96,19 16 32,+47 03 47,['Kepler-1287 b'],,0,[],1,nan
Kepler-1288,F,1.29,6132.0,,1.3881775456911658,1.999877632198636,#f8f7ff,0.14,8.10969853546484e+26,1.2,19 02 51,+41 36 21,['Kepler-1288 b'],,0,[],1,nan
Kepler-1289,F,1.17,6080.0,,1.2377816295965705,1.7832097934879536,#f8f7ff,0.02,6.447669168221445e+26,1.1,19 45 33,+41 02 26,['Kepler-1289 b'],,0,[],1,nan
Kepler-129,G,1.641,5770.0,402.81,1.5635480056698494,2.2525250412770856,#fff4ea,,1.0288146023755289e+27,1.185,19 01 14,+47 50 54,"['Kepler-129 b', 'Kepler-129 c']",1313.1606,0,[],2,824.7833588606884 -536.38171985926 -870.673755569412
Kepler-1290,G,0.93,5660.0,,0.8526422000729009,1.2283587711724795,#fff4ea,-0.02,3.059484990034012e+26,0.95,19 22 44,+43 51 35,['Kepler-1290 b'],,0,[],1,nan
Kepler-1291,G,0.8,5216.0,,0.6228968935625405,0.8973762531085341,#fff4ea,-0.04,1.6328527044570634e+26,0.84,19 17 30,+40 00 04,['Kepler-1291 b'],,0,[],1,nan
Kepler-1292,G,0.93,5556.0,,0.821596225242842,1.183632395338815,#fff4ea,0.08,2.8407404175448124e+26,0.95,18 59 37,+43 56 57,['Kepler-1292 b'],,0,[],1,nan
Kepler-1293,F,1.28,6241.0,,1.4268205226785289,2.05554862728026,#f8f7ff,0.0,8.567485431856771e+26,1.18,19 20 06,+48 20 09,['Kepler-1293 b'],,0,[],1,nan
Kepler-1294,G,0.97,5776.0,,0.9261410111876732,1.3342448149266597,#fff4ea,-0.03,3.6096817338546656e+26,0.99,19 25 04,+44 29 17,['Kepler-1294 b'],,0,[],1,nan
Kepler-1295,G,0.89,5486.0,,0.7665714240496851,1.104360929333664,#fff4ea,0.04,2.4729761695669565e+26,0.92,19 25 35,+45 35 19,['Kepler-1295 b'],,0,[],1,nan
Kepler-1296,G,0.83,5359.0,,0.6821762872125199,0.9827770966669604,#fff4ea,-0.04,1.9584293899889486e+26,0.87,19 28 30,+41 24 28,['Kepler-1296 b'],,0,[],1,nan
Kepler-1297,G,0.99,5818.0,,0.9590331979571056,1.3816309355266267,#fff4ea,-0.04,3.870632704770433e+26,0.99,19 19 50,+47 01 13,['Kepler-1297 b'],,0,[],1,nan
Kepler-1298,F,2.0,6339.0,,2.2999718033308625,3.313453800233317,#f8f7ff,0.13,2.2261770612541407e+27,1.45,18 57 41,+49 06 22,['Kepler-1298 b'],,0,[],1,nan
Kepler-1299,G,0.91,5609.0,,0.8193383537154053,1.1803795932904644,#fff4ea,-0.01,2.82514829735844e+26,0.94,19 04 36,+37 24 41,['Kepler-1299 b'],,0,[],1,nan
Kepler-13 A,S-type binary,1.74,7650.0,530.0,2.914225346598732,4.198378012912855,,0.2,3.57405261958098e+27,1.72,19 07 53.1072,+46 52 05.953,['Kepler-13 A b'],1727.8,0,[],1,778.9604091368519 1480.0058197991232 436.9913013075199
Kepler-130,G,1.127,5884.0,266.39,1.1166581930320991,1.608713345052958,#fff4ea,,5.2475331803509145e+26,0.965,19 13 48,+40 14 43,"['Kepler-130 c', 'Kepler-130 b', 'Kepler-130 d']",868.4313999999998,0,[],3,-603.0444674537409 392.13411197635554 487.30392427529875
Kepler-1300,F,1.79,6130.0,,1.9249745522144155,2.7732141046903647,#f8f7ff,0.05,1.5594256200746756e+27,1.29,19 16 08,+40 05 13,['Kepler-1300 b'],,0,[],1,nan
Kepler-1301,K,0.81,5188.0,,0.6239301411702987,0.8988648010148823,#ffd2a1,0.01,1.638274277318925e+26,0.85,19 06 25,+42 26 25,['Kepler-1301 b'],,0,[],1,nan
Kepler-1302,G,0.82,5236.0,,0.6433749399443408,0.9268779454800946,#fff4ea,0.04,1.7419791849856505e+26,0.86,19 23 57,+50 18 29,['Kepler-1302 b'],,0,[],1,nan
Kepler-1303,G,1.0,5771.0,,0.9531322427468168,1.3731297258864814,#fff4ea,0.04,3.823147046492648e+26,1.01,18 57 09,+42 21 20,['Kepler-1303 b'],,0,[],1,nan
Kepler-1304,G,0.81,5259.0,,0.6411244995675472,0.9236358491170495,#fff4ea,-0.05,1.7298140730279806e+26,0.85,19 01 06,+39 26 49,['Kepler-1304 b'],,0,[],1,nan
Kepler-1305,G,0.96,5701.0,,0.8929442142098072,1.2864198577064947,#fff4ea,0.01,3.3555470687324644e+26,0.97,19 49 21,+46 20 50,['Kepler-1305 b'],,0,[],1,nan
Kepler-1306,G,0.97,5727.0,,0.9104940521124352,1.3117030272687151,#fff4ea,0.0,3.488742420725083e+26,0.98,19 37 55,+46 56 45,['Kepler-1306 b'],,0,[],1,nan
Kepler-1307,G,1.08,5884.0,,1.0700894840059154,1.5416241461022135,#fff4ea,0.06,4.8189772074815285e+26,1.06,19 31 29,+46 44 31,['Kepler-1307 b'],,0,[],1,nan
Kepler-1308,M,0.34,3468.0,,0.11702754842678575,0.16859570821918454,#ffcc6f,-0.13,5.763561004416723e+24,0.35,19 03 43,+38 31 15,['Kepler-1308 b'],,0,[],1,nan
Kepler-1309,G,0.8,5235.0,,0.627443134499237,0.9039257939710166,#fff4ea,-0.03,1.6567745820014582e+26,0.85,19 54 56,+40 45 51,['Kepler-1309 b'],,0,[],1,nan
Kepler-131,G,1.03,5685.0,226.3,0.9526846665984172,1.3724849254208151,#fff4ea,0.12,3.819557308178349e+26,1.02,19 14 07,+40 56 32,"['Kepler-131 b', 'Kepler-131 c']",737.7379999999998,0,[],2,-645.3281255103198 350.33720296219855 -74.80077874510062
Kepler-1310,G,0.88,5549.0,,0.7754666664830971,1.1171758581090083,#fff4ea,-0.07,2.5307016518927386e+26,0.91,18 55 41,+40 44 24,['Kepler-1310 b'],,0,[],1,nan
Kepler-1311,G,1.4,5748.0,,1.3237700991728818,1.9070890605647284,#fff4ea,0.09,7.374622841687304e+26,1.05,19 18 36,+43 49 28,"['Kepler-1311 b', 'Kepler-1311 c']",,0,[],2,nan
Kepler-1312,G,0.92,5719.0,,0.8611504502974139,1.2406161797193669,#fff4ea,-0.02,3.1208489262347784e+26,0.99,19 31 53,+41 02 09,['Kepler-1312 b'],,0,[],1,nan
Kepler-1313,G,0.85,5453.0,,0.7233374214660451,1.042075874380992,#fff4ea,0.0,2.201894705471744e+26,0.92,19 29 33,+42 13 60,['Kepler-1313 b'],,0,[],1,nan
Kepler-1314,K,0.59,4188.0,,0.2961531594836399,0.4266529747543199,#ffd2a1,-0.22,3.691028684766129e+25,0.6,19 36 57,+45 11 50,['Kepler-1314 b'],,0,[],1,nan
Kepler-1315,K,0.75,4861.0,,0.5071816335090519,0.7306710928044179,#ffd2a1,0.07,1.0825344252962072e+26,0.8,19 43 17,+46 03 11,['Kepler-1315 b'],,0,[],1,nan
Kepler-1316,G,1.12,5884.0,,1.1097224278579865,1.5987213366985915,#fff4ea,0.03,5.182548876084388e+26,1.04,19 55 21,+40 17 35,['Kepler-1316 b'],,0,[],1,nan
Kepler-1317,K,0.79,5144.0,,0.5982463033156759,0.8618633864667868,#ffd2a1,-0.01,1.5061725463097216e+26,0.83,19 26 27,+42 06 57,['Kepler-1317 b'],,0,[],1,nan
Kepler-1318,K,0.7,4598.0,,0.42353273862334295,0.6101623334174676,#ffd2a1,-0.01,7.548986570503246e+25,0.73,19 21 30,+41 09 03,['Kepler-1318 b'],,0,[],1,nan
Kepler-1319,M,0.54,3655.0,,0.20645220941996376,0.2974253235967765,#ffcc6f,0.44,1.7937162798367724e+25,0.56,19 23 49,+49 21 59,['Kepler-1319 b'],,0,[],1,nan
Kepler-132,F,1.178,6003.0,331.08,1.2148789012151695,1.7502149836032574,#f8f7ff,,6.211273592246045e+26,,18 52 56,+41 20 34,"['Kepler-132 d', 'Kepler-132 c', 'Kepler-132 b', 'Kepler-132 e']",1079.3208,0,[],4,-835.2107913921224 -445.44559520513246 -519.6658324353317
Kepler-1320,K,0.74,4817.0,,0.4914009875586745,0.7079367091834147,#ffd2a1,0.1,1.0162176409232e+26,0.8,19 13 44,+40 22 51,['Kepler-1320 b'],,0,[],1,nan
Kepler-1321,K,0.53,4094.0,,0.2542275187776171,0.36625281101170215,#ffd2a1,-0.45,2.7199429661937475e+25,0.54,19 38 07,+46 38 27,"['Kepler-1321 b', 'Kepler-1321 c']",,0,[],2,nan
Kepler-1322,G,0.87,5488.0,,0.7498915685190355,1.0803310996569115,#fff4ea,-0.07,2.3665278570911917e+26,0.9,19 32 49,+45 26 07,['Kepler-1322 b'],,0,[],1,nan
Kepler-1323,F,1.4,6169.0,,1.5247849219875946,2.1966810145156623,#f8f7ff,0.02,9.78434724488133e+26,1.18,19 31 29,+46 05 56,['Kepler-1323 b'],,0,[],1,nan
Kepler-1324,K,0.73,4776.0,,0.4765434547326772,0.68653220825297,#ffd2a1,0.05,9.556958447116894e+25,0.78,19 24 44,+40 18 40,['Kepler-1324 b'],,0,[],1,nan
Kepler-1325,G,0.91,5550.0,,0.8021920822979742,1.1556778216836816,#fff4ea,0.01,2.7081419347095397e+26,0.93,19 00 04,+42 05 07,['Kepler-1325 b'],,0,[],1,nan
Kepler-1326,F,1.74,6725.0,,2.2520853123289206,3.2444661390104987,#f8f7ff,0.02,2.134441991253386e+27,1.45,19 44 53,+39 16 08,['Kepler-1326 b'],,0,[],1,nan
Kepler-1327,G,1.03,5885.0,,1.0208952229625856,1.4707524462980563,#fff4ea,-0.03,4.386084791124224e+26,1.02,19 16 16,+50 27 40,['Kepler-1327 b'],,0,[],1,nan
Kepler-1328,G,0.99,5780.0,,0.9465463475695908,1.3636417576551692,#fff4ea,0.0,3.770495683036459e+26,1.0,18 58 42,+44 25 04,['Kepler-1328 b'],,0,[],1,nan
Kepler-1329,K,0.69,4500.0,,0.3998758082076769,0.5760809825617208,#ffd2a1,0.02,6.729223324477576e+25,0.72,18 46 35,+48 16 16,['Kepler-1329 b'],,0,[],1,nan
Kepler-133,G,1.425,5736.0,587.59,1.3417887992950221,1.9330476963656136,#fff4ea,,7.57675081459869e+26,1.02,19 49 06,+48 19 13,"['Kepler-133 c', 'Kepler-133 b']",1915.5434,0,[],2,269.379295641669 -647.0586163618605 -1783.6978548142642
Kepler-1330,G,0.94,5608.0,,0.8460477524614989,1.2188584818790211,#fff4ea,0.08,3.012343075053501e+26,0.97,19 22 18,+39 57 25,['Kepler-1330 b'],,0,[],1,nan
Kepler-1331,K,0.69,4508.0,,0.4012988526641055,0.5781310912001074,#ffd2a1,0.05,6.777203336546061e+25,0.72,19 48 18,+41 13 28,['Kepler-1331 b'],,0,[],1,nan
Kepler-1332,G,0.9,5581.0,,0.8022644849322333,1.1557821285205243,#fff4ea,0.0,2.708630808790676e+26,0.95,19 24 07,+43 54 49,['Kepler-1332 b'],,0,[],1,nan
Kepler-1333,G,0.92,5628.0,,0.8339634503032306,1.2014492350128232,#fff4ea,-0.04,2.9269055944132844e+26,0.94,19 34 07,+41 06 41,['Kepler-1333 b'],,0,[],1,nan
Kepler-1334,G,0.91,5614.0,,0.8207997613510892,1.1824849698334,#fff4ea,-0.03,2.8352354007723284e+26,0.94,19 17 15,+51 19 15,['Kepler-1334 b'],,0,[],1,nan
Kepler-1335,K,0.74,4903.0,,0.5091040111651695,0.7334405656913993,#ffd2a1,-0.07,1.0907562683241944e+26,0.77,18 59 21,+42 04 14,['Kepler-1335 b'],,0,[],1,nan
Kepler-1336,G,1.3,5512.0,,1.1303495940745492,1.6284378585226122,#fff4ea,0.05,5.377002584462761e+26,0.94,19 45 07,+46 53 59,"['Kepler-1336 b', 'Kepler-1336 c']",,0,[],2,nan
Kepler-1337,K,0.67,4523.0,,0.3922644860748387,0.5651157332446078,#ffd2a1,-0.09,6.4754903631652365e+25,0.7,19 08 02,+46 47 46,['Kepler-1337 b'],,0,[],1,nan
Kepler-1338,G,1.05,5909.0,,1.0492241824086903,1.5115645546019112,#fff4ea,0.0,4.632882258697993e+26,1.04,18 56 10,+41 41 57,['Kepler-1338 b'],,0,[],1,nan
Kepler-1339,G,0.93,5586.0,,0.8304927085862589,1.1964491118308462,#fff4ea,0.01,2.902594229830224e+26,0.94,18 54 59,+48 22 24,['Kepler-1339 b'],,0,[],1,nan
Kepler-134,G,1.176,5983.0,414.47,1.2047483495279758,1.7356204068620211,#fff4ea,,6.108117176547079e+26,1.01,18 58 57,+49 35 54,"['Kepler-134 b', 'Kepler-134 c']",1351.1722,0,[],2,-436.25499083452877 968.2316641284882 -836.4373888320999
Kepler-1340,F,1.42,6331.0,,1.6288608459991007,2.346617968277139,#f8f7ff,0.07,1.1165614972638003e+27,1.27,19 44 56,+42 28 22,['Kepler-1340 b'],,0,[],1,nan
Kepler-1341,K,0.72,4662.0,,0.4478453274219829,0.6451882583578067,#ffd2a1,0.19,8.440550538855224e+25,0.79,18 42 03,+44 09 34,['Kepler-1341 b'],,0,[],1,nan
Kepler-1342,G,0.9,5527.0,,0.7868146745754651,1.1335243631142788,#fff4ea,0.03,2.6053110544805458e+26,0.93,19 48 05,+43 25 57,['Kepler-1342 b'],,0,[],1,nan
Kepler-1343,G,0.93,5759.0,,0.882730470839817,1.2717054308883529,#fff4ea,-0.16,3.279222734506555e+26,0.95,19 37 11,+50 43 31,['Kepler-1343 b'],,0,[],1,nan
Kepler-1344,G,1.13,5981.0,,1.1568500265521644,1.6666156999090227,#fff4ea,0.06,5.632079825947968e+26,1.09,19 08 21,+46 56 45,['Kepler-1344 b'],,0,[],1,nan
Kepler-1345,F,1.55,6449.0,,1.8448772041517416,2.657821880341127,#f8f7ff,0.04,1.4323515062564563e+27,1.32,19 29 55,+46 01 22,['Kepler-1345 b'],,0,[],1,nan
Kepler-1346,F,1.21,6133.0,,1.3025137369219628,1.8764660876319983,#f8f7ff,0.04,7.139689160723412e+26,1.14,19 27 22,+45 10 45,['Kepler-1346 b'],,0,[],1,nan
Kepler-1347,K,0.79,5193.0,,0.6096979700354275,0.8783612272475365,#ffd2a1,-0.11,1.5643869266858006e+26,0.82,19 58 38,+40 50 38,['Kepler-1347 b'],,0,[],1,nan
Kepler-1348,G,1.04,5911.0,,1.0399351808574615,1.498182356852479,#fff4ea,-0.01,4.551213625947461e+26,1.04,19 28 21,+49 47 20,['Kepler-1348 b'],,0,[],1,nan
Kepler-1349,F,1.28,6086.0,,1.35682825307647,1.9547142816747918,#f8f7ff,0.03,7.747550868554135e+26,1.16,19 05 21,+48 44 39,['Kepler-1349 b'],,0,[],1,nan
Kepler-135,F,1.275,6090.0,561.29,1.3533052998420907,1.9496389399833882,#f8f7ff,,7.707370654038316e+26,1.14,19 21 58,+38 47 43,"['Kepler-135 b', 'Kepler-135 c']",1829.8054,0,[],2,88.26200102070696 831.971393751344 1628.322636539135
Kepler-1350,K,0.53,3827.0,,0.22214871560482705,0.3200384912857454,#ffd2a1,-0.06,2.0768364296078293e+25,0.55,19 13 00,+46 40 47,"['Kepler-1350 b', 'Kepler-1350 c']",,0,[],2,nan
Kepler-1351,K,0.67,4439.0,,0.3778297103385791,0.5443202772092085,#ffd2a1,-0.03,6.007681364821294e+25,0.7,19 34 26,+42 11 52,['Kepler-1351 b'],,0,[],1,nan
Kepler-1352,F,1.16,6118.0,,1.2425902657617631,1.7901373539704009,#f8f7ff,0.0,6.49786335241467e+26,1.11,19 22 46,+48 42 05,['Kepler-1352 b'],,0,[],1,nan
Kepler-1353,K,0.72,4776.0,,0.4700154622020925,0.677127657454984,#ffd2a1,-0.06,9.296917355949327e+25,0.76,19 42 56,+42 34 35,['Kepler-1353 b'],,0,[],1,nan
Kepler-1354,F,1.24,6168.0,,1.350085981488355,1.9450010298064464,#f8f7ff,0.03,7.670744820752995e+26,1.16,19 24 59,+37 45 33,['Kepler-1354 b'],,0,[],1,nan
Kepler-1355,G,0.83,5352.0,,0.680395314914667,0.9802113393738124,#fff4ea,-0.04,1.9482169109646007e+26,0.88,18 54 58,+49 04 05,['Kepler-1355 b'],,0,[],1,nan
Kepler-1356,K,0.78,5106.0,,0.5819788958202903,0.8384277499483441,#ffd2a1,-0.02,1.4253750490089992e+26,0.82,19 23 59,+43 14 38,['Kepler-1356 b'],,0,[],1,nan
Kepler-1357,G,0.9,5597.0,,0.8068710542427857,1.1624185814396353,#fff4ea,-0.06,2.7398258035155323e+26,0.93,19 26 12,+50 21 12,['Kepler-1357 b'],,0,[],1,nan
Kepler-1358,K,0.79,5181.0,,0.6068834419056294,0.8743064780049425,#ffd2a1,-0.08,1.5499770106569135e+26,0.82,19 04 41,+43 00 32,['Kepler-1358 b'],,0,[],1,nan
Kepler-1359,K,0.72,4709.0,,0.4569207593750684,0.6582627771193674,#ffd2a1,0.11,8.786106427575655e+25,0.78,19 18 09,+41 53 34,['Kepler-1359 b'],,0,[],1,nan
Kepler-136,F,1.355,6165.0,539.57,1.4738608050664643,2.1233171982760544,#f8f7ff,,9.141713767706368e+26,1.204,19 45 52.158,+42 35 55.73,"['Kepler-136 b', 'Kepler-136 c']",1758.9982,0,[],2,131.59688602030977 300.13462161503963 -1729.0591780976495
Kepler-1360,F,1.83,6778.0,,2.406053230800867,3.4662799820480754,#f8f7ff,0.06,2.4362684578572688e+27,1.51,20 01 23,+45 37 24,['Kepler-1360 b'],,0,[],1,nan
Kepler-1361,K,0.79,5131.0,,0.5952263287403129,0.8575126608540411,#ffd2a1,0.0,1.4910044725788175e+26,0.83,18 54 16,+46 54 15,['Kepler-1361 b'],,0,[],1,nan
Kepler-1362,K,0.74,4857.0,,0.4995959847052546,0.7197428297623334,#ffd2a1,0.06,1.0503947885358753e+26,0.8,19 14 09,+40 52 38,['Kepler-1362 b'],,0,[],1,nan
Kepler-1363,K,0.72,4839.0,,0.4824971509076775,0.6951093991506672,#ffd2a1,-0.09,9.797249911241834e+25,0.76,19 47 59,+49 15 23,['Kepler-1363 b'],,0,[],1,nan
Kepler-1364,F,1.79,6805.0,,2.3722491660650284,3.41758016468506,#f8f7ff,0.04,2.368292202709297e+27,1.49,19 40 37,+49 35 15,['Kepler-1364 b'],,0,[],1,nan
Kepler-1365,G,1.05,5770.0,,1.0004420511598668,1.4412865894825964,#fff4ea,0.03,4.212098860361896e+26,1.0,19 28 48,+42 02 46,"['Kepler-1365 b', 'Kepler-1365 c']",,0,[],2,nan
Kepler-1366,K,0.6,4070.0,,0.2844402694741535,0.4097788027068878,#ffd2a1,-0.02,3.404841052783844e+25,0.62,19 00 16,+41 33 18,['Kepler-1366 b'],,0,[],1,nan
Kepler-1367,K,0.6,4106.0,,0.2894943906071482,0.4170600210464815,#ffd2a1,-0.06,3.5269149414020724e+25,0.62,19 13 40,+47 52 43,['Kepler-1367 b'],,0,[],1,nan
Kepler-1368,G,1.08,5906.0,,1.0781064723833382,1.5531738183925987,#fff4ea,0.1,4.891454144076713e+26,1.07,19 39 04,+41 38 41,['Kepler-1368 b'],,0,[],1,nan
Kepler-1369,G,0.99,5761.0,,0.9403336065658696,1.3546913738901019,#fff4ea,0.0,3.7211621521655764e+26,0.99,19 03 11,+40 56 10,['Kepler-1369 b'],,0,[],1,nan
Kepler-137,K,0.802,5187.0,288.7,0.6175297385141779,0.8896440625374656,#ffd2a1,,1.6048351707307983e+26,0.9079999999999999,18 48 32,+43 02 20,"['Kepler-137 c', 'Kepler-137 b']",941.162,0,[],2,453.05809029085117 -316.66893406808305 -762.2959968876428
Kepler-1370,F,1.29,6202.0,,1.4200519962279017,2.0457975513508373,#f8f7ff,0.05,8.486393652424175e+26,1.19,18 58 16,+41 46 43,"['Kepler-1370 b', 'Kepler-1370 c']",,0,[],2,nan
Kepler-1371,G,0.83,5361.0,,0.6826855640049491,0.9835107861499366,#fff4ea,-0.07,1.961354601413738e+26,0.87,19 15 20,+47 33 07,"['Kepler-1371 b', 'Kepler-1371 c']",,0,[],2,nan
Kepler-1372,G,0.97,5677.0,,0.8946651803811903,1.2888991671886298,#fff4ea,0.05,3.368493785341546e+26,0.98,19 15 33,+44 50 22,['Kepler-1372 b'],,0,[],1,nan
Kepler-1373,F,1.33,6299.0,,1.5102396574675452,2.175726382841674,#f8f7ff,0.03,9.598567434109436e+26,1.22,19 03 00,+39 14 57,['Kepler-1373 b'],,0,[],1,nan
Kepler-1374,G,0.81,5323.0,,0.6568239251534622,0.9462532226404096,#fff4ea,-0.13,1.815568367493354e+26,0.85,19 25 24,+45 10 20,['Kepler-1374 b'],,0,[],1,nan
Kepler-1375,F,1.78,6704.0,,2.289491450618026,3.298355282732431,#f8f7ff,0.09,2.2059351052881904e+27,1.47,19 45 10,+43 24 12,['Kepler-1375 b'],,0,[],1,nan
Kepler-1376,G,0.97,5659.0,,0.8890007650549591,1.280738728672984,#fff4ea,0.07,3.325974761076836e+26,0.98,19 07 50,+42 32 29,['Kepler-1376 b'],,0,[],1,nan
Kepler-1377,G,0.82,5218.0,,0.6389590334796935,0.9205161709420024,#fff4ea,0.05,1.718148545641072e+26,0.86,19 16 47,+46 39 06,['Kepler-1377 b'],,0,[],1,nan
Kepler-1378,K,0.67,4407.0,,0.3724019241869781,0.5365007384545026,#ffd2a1,0.03,5.836312160097396e+25,0.7,19 49 30,+40 21 59,['Kepler-1378 b'],,0,[],1,nan
Kepler-1379,K,0.79,5188.0,,0.6085244586722666,0.8766706083972309,#ffd2a1,-0.04,1.5583706393457417e+26,0.83,19 34 41,+41 24 37,['Kepler-1379 b'],,0,[],1,nan
Kepler-138,K,0.442,3841.0,114.07,0.1866215947258376,0.2688563535232931,#ffd2a1,-0.28,1.465677673583436e+25,0.521,19 21 31,+43 17 34,['Kepler-138 b'],371.8682,0,[],1,62.13202118747022 280.24842769865904 -236.68355955743945
Kepler-1380,G,0.94,5570.0,,0.8346209013661563,1.2023963917213374,#fff4ea,0.1,2.931522237261685e+26,0.96,19 12 28,+42 26 26,['Kepler-1380 b'],,0,[],1,nan
Kepler-1381,G,0.94,5747.0,,0.8885078321577031,1.2800285850184805,#fff4ea,-0.1,3.3222874125171074e+26,0.96,19 10 09,+48 43 40,['Kepler-1381 b'],,0,[],1,nan
Kepler-1382,F,1.72,6161.0,,1.8684517059183416,2.69178448038432,#f8f7ff,0.3,1.4691915910894296e+27,1.36,19 41 31,+39 02 53,['Kepler-1382 b'],,0,[],1,nan
Kepler-1383,F,1.44,6370.0,,1.6722159801158998,2.4090775313426027,#f8f7ff,0.03,1.1767912174701287e+27,1.26,19 51 47,+42 11 31,['Kepler-1383 b'],,0,[],1,nan
Kepler-1384,K,0.74,4919.0,,0.512432159272414,0.7382352614253723,#ffd2a1,-0.06,1.1050640094360064e+26,0.78,19 44 52,+39 31 37,['Kepler-1384 b'],,0,[],1,nan
Kepler-1385,G,1.29,5732.0,,1.2129784532091363,1.7474771036611567,#fff4ea,0.41,6.191856068768357e+26,1.15,18 50 32,+46 28 52,['Kepler-1385 b'],,0,[],1,nan
Kepler-1386,G,1.03,5733.0,,0.9688401334796496,1.3957592947216206,#fff4ea,0.11,3.9501985160835485e+26,1.02,18 43 18,+42 38 10,['Kepler-1386 b'],,0,[],1,nan
Kepler-1387,K,0.77,5046.0,,0.5610947822448933,0.8083410569764177,#ffd2a1,0.02,1.3249123248245161e+26,0.82,19 29 46,+43 12 34,['Kepler-1387 b'],,0,[],1,nan
