HostStar,HostStarClass,HostStarRadiusSlrRad,HostStarTempK,DistFromSunParsec,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarColor,HostStarMetallicity,HostStarLuminosity,HostStarMassSlrMass,RightAscension,Declination,HostStarPlanetList,DistFromSunLY,HabitablePlanets,HabitablePlanetsList,Planets,Coordinates
Gliese 667 C,S-type binary,0.41,3350.0,6.97,0.13168141460872204,0.1897067968500665,,,7.297324290872493e+24,0.33,17 18 57,-34 59 23,"['Gliese 667 C b', 'Gliese 667 C h', 'Gliese 667 C c', 'Gliese 667 C f', 'Gliese 667 C e', 'Gliese 667 C d', 'Gliese 667 C g']",22.7222,3,"['Gliese 667 C c', 'Gliese 667 C f', 'Gliese 667 C e']",7,10.896255655714036 -17.532596898521373 9.522265664891716
Gliese 674,M,,3600.0,4.54,,,#ffcc6f,-0.28,,0.35,17 28 40,-46 53 43,['Gliese 674 b'],14.8004,0,[],1,2.24569219762317 14.246325667923596 -3.355762856847308
Gliese 676 A,S-type binary,,,16.5,,,,0.23,,0.71,17 30 11,-51 38 13,"['Gliese 676 A d', 'Gliese 676 A e', 'Gliese 676 A b', 'Gliese 676 A c']",53.79,0,[],4,2.3550700782022993 -10.392946335288142 -52.7501780739005
Gliese 687,M,0.4183,3413.0,4.5,0.13944773151535092,0.20089533934907366,#ffcc6f,,8.183471745312453e+24,0.413,17 36 25.89973,+68 20 20.9108,['Gliese 687 b'],14.669999999999998,1,['Gliese 687 b'],1,10.237143046222327 2.2260522155808804 -10.279155521643466
Gliese 777 A,S-type binary,1.2,,15.89,,,,0.24,,1.04,20 03 37.405,+29 53 48.50,"['Gliese 777 A b', 'Gliese 777 A c']",51.8014,0,[],2,2.0695766907721835 -1.6979109608120382 -51.75707046299637
Gliese 785,K,,5166.0,8.82,,,#ffd2a1,-0.04,,0.8,20 15 17,-27 01 58,"['Gliese 785 b', 'Gliese 785 c']",28.7532,0,[],2,5.6815344423402045 -7.364099418409052 -27.221869471963895
Gliese 832,M,,3472.0,4.94,,,#ffcc6f,-0.3,,0.45,21 33 34,-49 00 32,"['Gliese 832 b', 'Gliese 832 c']",16.104400000000002,0,[],2,-4.887705290159391 0.9521692445117501 15.323326013699187
Gliese 849,M,0.52,3601.0,9.1,0.19297479975913595,0.2780090967572569,#ffcc6f,0.31,1.5671691639161948e+25,0.49,22 09 40.3,-04 38 26.6,"['Gliese 849 b', 'Gliese 849 c']",29.666,0,[],2,-1.7648675411542178 1.1840594383388998 29.60404433733118
Gliese 86,S-type binary,0.855,5188.0,10.783,0.6585929267908708,0.948801734404598,,-0.24,1.8253611546670737e+26,0.8,02 10 25.93425,-50 49 25.4179,['Gliese 86 b'],35.15257999999999,0,[],1,11.028090319259578 27.716858578826898 -18.62919238045758
Gliese 876,M,0.3761,3129.0,4.69,0.1053817660090072,0.15181821470687487,#ffcc6f,0.19,4.673536344928848e+24,0.37,22 53 13,-14 15 13,"['Gliese 876 b', 'Gliese 876 c', 'Gliese 876 d', 'Gliese 876 e']",15.2894,1,['Gliese 876 c'],4,1.1452220733863774 1.3590001773347662 -15.19314620069895
HAT-P-1,G,1.115,5975.0,139.0,1.139204519381967,1.64119470444053,#fff4ea,0.13,5.4615772179169185e+26,1.133,22 57 47,+38 40 30,['HAT-P-1 b'],453.14,0,[],1,108.54432571963815 -229.72353195156055 375.47058037837036
