PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
Kepler-323 c,,,+38 07 38,transit,2014.0,499.35,,,1.16,,1.178,5987.0,,14/02/26,Confirmed planets,,,3.5538220000000003,,0.14854,19 25 31,,,0,Kepler-323
Kepler-323 b,,,+38 07 38,transit,2014.0,499.35,,,1.16,,1.178,5987.0,,14/02/26,Confirmed planets,,,1.6783270000000001,,0.13032,19 25 31,,,0,Kepler-323
Kepler-590 b,,,+48 14 00,transit,2016.0,,,,1.1,0.07,1.15,6000.0,,16/05/10,Confirmed planets,,,5.85296257,,0.359,19 45 33,,,0,Kepler-590
HD 136418 b,,,+41 44 00,RV,2010.0,98.2,0.255,,1.33,-0.07,3.4,5071.0,,10/03/19,Confirmed planets,,,464.3,2.0,,15 19 07,1.32,357.4,0,HD 136418
Kepler-232 b,,,+51 07 18,transit,2014.0,1323.08,,,0.964,,0.968,5847.0,,14/02/26,Confirmed planets,,,4.431222,,0.28068000000000004,19 43 15,,,0,Kepler-232
Kepler-232 c,,,+51 07 18,transit,2014.0,1323.08,,,0.964,,0.968,5847.0,,14/02/26,Confirmed planets,,,11.379349000000001,,0.34903,19 43 15,,,0,Kepler-232
Kepler-1039 b,,,+45 18 56,transit,2016.0,,,,0.79,0.01,0.74,4870.0,,16/05/10,Confirmed planets,,,0.93488424,,0.13,19 53 18,,,0,Kepler-1039
Kepler-1365 b,,,+42 02 46,transit,2016.0,,,,1.0,0.03,1.05,5770.0,,16/05/10,Confirmed planets,,,7.69993485,,0.08199999999999999,19 28 48,,,0,Kepler-1365
Kepler-1365 c,,,+42 02 46,transit,2016.0,,,,1.0,0.03,1.05,5770.0,,16/05/10,Confirmed planets,,,4.77468005,,0.071,19 28 48,,,0,Kepler-1365
HD 98219 b,,,-23 58 31,RV,2011.0,134.0,0.0,,1.3,-0.02,4.5,4992.0,,12/07/24,Confirmed planets,,,436.9,1.8,,11 17 47,1.23,419.8,0,HD 98219
Kepler-1095 b,,,+41 21 54,transit,2016.0,,,,0.94,-0.09,0.92,5658.0,,16/05/10,Confirmed planets,,,4.27103091,,0.10800000000000001,19 33 03,,,0,Kepler-1095
TrES-2,,,+49 18 59,transit,2006.0,213.0,0.0,,0.983,0.001,1.003,5850.0,83.874,13/01/27,"""Confirmed planets,  Planets in binary systems,  S-type""",,,2.4706134019999997,1.253,1.169,19 07 14,0.03556,,2,TrES-2
Kepler-1128 b,,,+39 24 12,transit,2016.0,,,,0.94,0.04,0.91,5543.0,,16/05/10,Confirmed planets,,,61.6178167,,0.326,19 32 15,,,0,Kepler-1128
Kepler-398 b,,,+40 20 37,transit,2014.0,187.15,,,0.649,,0.613,4493.0,,14/02/26,Confirmed planets,,,4.081423,,0.08475,19 25 52,,,0,Kepler-398
Kepler-398 c,,,+40 20 37,transit,2014.0,187.15,,,0.649,,0.613,4493.0,,14/02/26,Confirmed planets,,,11.419412,,0.09204,19 25 52,,,0,Kepler-398
Kepler-398 d,,,+40 20 37,transit,2016.0,187.15,,,0.649,,0.613,4493.0,,16/05/10,Confirmed planets,,,6.83437001,,0.079,19 25 52,,,0,Kepler-398
HATS-23 b,,,-50 55 57,transit,2015.0,747.0,0.114,4.2,1.121,0.28,1.199,5780.0,81.02,16/07/11,Confirmed planets,,,2.1605156,1.47,1.86,19 05 28,0.03397,,0,HATS-23
Kepler-1418 b,,,+41 40 43,transit,2016.0,,,,0.77,0.0,0.72,4770.0,,16/05/10,Confirmed planets,,,22.4764425,,0.14800000000000002,18 51 59,,,0,Kepler-1418
Kepler-1148 b,,,+45 43 10,transit,2016.0,,,,0.81,-0.02,0.77,5054.0,,16/05/10,Confirmed planets,,,1.10446351,,0.151,19 23 49,,,0,Kepler-1148
SIMP0136+0933,,,+09 33 47,imaging,2017.0,6.0,,0.2,,,,1098.0,,17/07/02,Confirmed planets,,,,12.7,,01 36 57,,,0,SIMP0136+0933
Kepler-1438 b,,,+40 40 54,transit,2016.0,,,,0.97,0.2,0.96,5530.0,,16/05/10,Confirmed planets,,,2.31942009,,0.084,19 17 10,,,0,Kepler-1438
HD 25171 b,,,-65 11 12,RV,2010.0,55.0,0.08,,1.09,-0.11,1.18,6160.0,,10/12/20,Confirmed planets,,,1845.0,0.95,,03 55 49,3.02,169.7,0,HD 25171
HD 109271 b,,,-11 37 18,RV,2013.0,62.0,0.25,7.3,1.047,0.1,,5783.0,,13/01/14,Confirmed planets,,-64.0,7.8543,0.054000000000000006,,12 33 35,0.079,1076.0,0,HD 109271
HD 109271 c,,,-11 37 18,RV,2013.0,62.0,0.15,7.3,1.047,0.1,,5783.0,,13/01/14,Confirmed planets,,4.0,30.93,0.076,,12 33 35,0.196,684.9,0,HD 109271
WASP-2 A b,,,+06 25 46,transit,2006.0,165.8,0.0,,0.89,-0.08,0.84,5255.0,84.73,13/01/27,"""Confirmed planets,  Planets in binary systems,  S-type""",,,2.15222144,0.914,1.117,20 30 54,0.03138,1170.7,2,WASP-2 A
WASP-109 b,,,-16 24 38.8,transit,2014.0,330.0,,2.6,0.91,-0.22,1.3459999999999999,6520.0,84.28,14/10/14,Confirmed planets,,,3.3190233,0.91,1.443,15 28 13.23,0.0463,1695.0,0,WASP-109
Kepler-572 b,,,+50 34 53,transit,2016.0,,,,0.83,-0.1,0.79,5212.0,,16/05/10,Confirmed planets,,,17.20523483,,0.23,19 24 53,,,0,Kepler-572
Kepler-1310 b,,,+40 44 24,transit,2016.0,,,,0.91,-0.07,0.88,5549.0,,16/05/10,Confirmed planets,,,0.67933627,,0.128,18 55 41,,,0,Kepler-1310
MOA-2010-BLG-477L b,,,-31 27 16,microlensing,2012.0,2300.0,,,0.67,,,5150.0,,12/06/02,Confirmed planets,,,,1.5,,18 06 07,2.0,120.7,0,MOA-2010-BLG-477L
Kepler-1620 b,,,+46 55 42,transit,2016.0,,,,1.15,0.03,1.23,6157.0,,16/05/10,Confirmed planets,,,101.951829,,0.14400000000000002,19 49 05,,,0,Kepler-1620
Kepler-638 b,,,+41 37 02,transit,2016.0,,,,0.88,0.04,0.93,5382.0,,16/05/10,Confirmed planets,,,6.07972888,,0.163,18 59 41,,,0,Kepler-638
Kepler-551 b,,,+48 03 16,transit,2016.0,,,,0.65,-0.09,0.63,4286.0,,16/05/10,Confirmed planets,,,12.3764661,,0.244,19 01 56,,,0,Kepler-551
EPIC 211913977 b,,,+18 56 02,,2016.0,,0.1,0.8,0.8,,0.73,4819.0,89.4,16/09/07,Confirmed planets,,,14.677285999999999,,0.18,08 41 23,,,0,EPIC 211913977
K2-39 b,,,-09 01 21.968,,2016.0,255.0,0.152,3.09,1.53,0.32,3.88,4881.0,80.0,17/02/02,Confirmed planets,,,4.60543,0.125,0.73,22 33 28.4135,0.062,,0,K2-39
HD 180314 b,,,+31 51 37,RV,2010.0,132.0,0.257,,2.6,0.2,9.2,4917.0,,11/08/05,Confirmed planets,,,396.03,22.0,,19 14 50,1.4,553.4,0,HD 180314
HD 217107 b,,,-02 23 43.379,RV,1998.0,20.0,0.1283,,1.1079999999999999,0.389,1.5,5704.0,,17/12/10,Confirmed planets,,24.0,7.1268460000000005,1.4135,,22 58 15.5409,0.07505,,0,HD 217107
HD 217107 c,,,-02 23 43.379,RV,2005.0,20.0,0.376,,1.1079999999999999,0.389,1.5,5704.0,,17/12/10,Confirmed planets,,206.2,5178.0,4.48,,22 58 15.5409,6.06,,0,HD 217107
Kepler-349 b,,,+44 36 56,transit,2014.0,987.72,,,1.017,,0.927,5956.0,,14/02/26,Confirmed planets,,,5.929778,,0.17315,19 34 42,,,0,Kepler-349
Kepler-349 c,,,+44 36 56,transit,2014.0,987.72,,,1.017,,0.927,5956.0,,14/02/26,Confirmed planets,,,12.247629,,0.17862,19 34 42,,,0,Kepler-349
FW Tau b,,,+26 16 53,imaging,2013.0,145.0,,,,,,,,13/12/02,"""Confirmed planets,  Planets in binary systems,  P-type""",,,,10.0,,04 29 30,,,1,FW Tau
beta Pic b,,31.75,-51 03 59,imaging,2008.0,19.3,0.07,0.023,1.6,,,9790.0,89.01,15/08/22,Confirmed planets,,155.85,8167.0,11.0,1.65,05 47 17,9.25,1600.0,0,beta Pic
Kepler-637 b,,,+41 25 01,transit,2016.0,,,,1.64,0.38,2.56,6096.0,,16/05/10,Confirmed planets,,,23.20584623,,0.424,19 29 40,,,0,Kepler-637
Kepler-1421 b,,,+48 32 39,transit,2016.0,,,,1.25,0.05,1.42,6335.0,,16/05/10,Confirmed planets,,,6.9131112,,0.083,19 06 19,,,0,Kepler-1421
HD 153950 b,,,-43 18 35.1765,RV,2008.0,49.5,0.34,,1.12,-0.01,1.34,6076.0,,15/11/17,Confirmed planets,,308.2,499.4,2.73,,17 04 30.86989,1.28,,0,HD 153950
Kepler-701 b,,,+41 37 60,transit,2016.0,,,,0.88,0.0,0.84,5343.0,,16/05/10,Confirmed planets,,,10.35533177,,0.253,19 15 59,,,0,Kepler-701
Kepler-240 c,,,+40 45 00,transit,2014.0,840.27,,,0.753,,0.7390000000000001,4985.0,,14/02/26,Confirmed planets,,,7.9535279999999995,,0.20049,19 24 38,,,0,Kepler-240
Kepler-240 b,,,+40 45 00,transit,2014.0,840.27,,,0.753,,0.7390000000000001,4985.0,,14/02/26,Confirmed planets,,,4.144495,,0.12485,19 24 38,,,0,Kepler-240
HD 204941 b,,,-20 57 27,RV,2011.0,27.0,0.37,,0.74,-0.19,0.72,5056.0,,11/08/02,Confirmed planets,,,1733.0,0.266,,21 32 24,2.56,117.2,0,HD 204941
Kepler-1355 b,,,+49 04 05,transit,2016.0,,,,0.88,-0.04,0.83,5352.0,,16/05/10,Confirmed planets,,,1.28958811,,0.13,18 54 58,,,0,Kepler-1355
Kepler-440 b,,,+41 27 07.9,transit,2015.0,261.0,,1.3,0.575,-0.3,0.5589999999999999,4134.0,89.93,15/01/28,Confirmed planets,,,101.11140999999999,,0.166,19 01 23.99,0.242,,0,Kepler-440
Kepler-574 b,,,+52 08 57,transit,2016.0,,,,0.95,-0.01,0.91,5612.0,,16/05/10,Confirmed planets,,,7.65880414,,0.213,19 20 59,,,0,Kepler-574
Kepler-1223 b,,,+44 33 10,transit,2016.0,,,,0.8,0.04,0.75,4870.0,,16/05/10,Confirmed planets,,,16.301259,,0.109,19 01 11,,,0,Kepler-1223
11 Com b,,,+17 47 34,RV,2008.0,88.9,0.231,,2.7,-0.35,19.0,4742.0,,15/09/20,Confirmed planets,,94.8,326.03,19.4,,12 20 43,1.29,,0,11 Com
HD 149026 b,,,+38 20 50,transit,2005.0,78.9,0.0,,1.3,0.36,1.4969999999999999,6147.0,85.3,12/07/05,Confirmed planets,,,2.8758916,0.35600000000000004,0.718,16 30 29,0.04288,1601.5,0,HD 149026
Kepler-499 b,,,+43 54 55,transit,2016.0,,,,0.87,0.0,0.83,5312.0,,16/05/10,Confirmed planets,,,5.63252845,,0.19399999999999998,19 40 26,,,0,Kepler-499
HD 96167 b,,,-10 17 29,RV,2009.0,84.0,0.71,,1.31,0.34,1.86,5770.0,,09/04/21,Confirmed planets,,,498.9,0.68,,11 05 15,1.3,293.2,0,HD 96167
Kepler-1370 b,,,+41 46 43,transit,2016.0,,,,1.19,0.05,1.29,6202.0,,16/05/10,Confirmed planets,,,20.2641684,,0.16399999999999998,18 58 16,,,0,Kepler-1370
Kepler-1370 c,,,+41 46 43,transit,2016.0,,,,1.19,0.05,1.29,6202.0,,16/05/10,Confirmed planets,,,7.44142113,,0.113,18 58 16,,,0,Kepler-1370
NGC 4349 No 127 b,,,-61 52 18,RV,2007.0,2176.0,0.19,,3.9,,,5700.0,,07/11/27,"""Confirmed planets,  Planets in open clusters""",,,677.8,19.8,,12 24 08,2.38,599.9,0,NGC 4349 No 127
Kepler-1040 b,,,+48 07 53,transit,2016.0,,,,0.98,0.01,0.96,5694.0,,16/05/10,Confirmed planets,,,201.1214,,0.18600000000000003,18 52 27,,,0,Kepler-1040
WASP-90 b,,,+07 03 24,transit,2013.0,340.0,,,1.55,0.11,1.98,6430.0,82.1,13/10/22,Confirmed planets,,,3.916243,0.63,1.63,21 02 08,0.0562,1840.0,0,WASP-90
HD 101930 b,,,-58 00 24,RV,2005.0,30.49,0.11,,0.74,0.17,,5079.0,,10/12/29,Confirmed planets,,,70.46,0.3,,11 43 30,0.302,385.4,0,HD 101930
Kepler-219 b,,,+46 45 45,transit,2014.0,953.85,,,1.171,,1.4909999999999999,5786.0,,14/02/26,Confirmed planets,,,4.5855120000000005,,0.26883,19 14 57,,,0,Kepler-219
Kepler-219 c,,,+46 45 45,transit,2014.0,953.85,,,1.171,,1.4909999999999999,5786.0,,14/02/26,Confirmed planets,,,22.714613,,0.32625,19 14 57,,,0,Kepler-219
Kepler-219 d,,,+46 45 45,transit,2014.0,953.85,,,1.171,,1.4909999999999999,5786.0,,14/02/26,Confirmed planets,,,47.903645000000004,,0.25608000000000003,19 14 57,,,0,Kepler-219
Kepler-609 b,,,+44 42 00,transit,2016.0,,,,1.09,0.06,1.14,5971.0,,16/05/10,Confirmed planets,,,6.52121067,,0.299,19 28 53,,,0,Kepler-609
Kepler-1600 b,,,+38 47 16,transit,2016.0,,,,0.86,0.07,0.82,5214.0,,16/05/10,Confirmed planets,,,386.370548,,0.27899999999999997,19 25 36,,,0,Kepler-1600
KELT-12 b,,,+36 34 12.8,transit,2016.0,360.0,,2.2,1.5919999999999999,0.19,2.37,6278.0,84.46,17/11/28,Confirmed planets,,,5.03145,0.95,1.79,17 50 33.73,0.0671,,0,KELT-12
HIP 41378 b,,,+10 04 49.335,transit,2016.0,116.0,,,1.15,-0.11,1.4,6199.0,88.4,16/06/29,Confirmed planets,,,15.5712,,0.26,08 26 27.8491,,,0,HIP 41378
HIP 41378 c,,,+10 04 49.335,transit,2016.0,116.0,,,1.15,-0.11,1.4,6199.0,89.58,16/06/29,Confirmed planets,,,31.6978,,0.228,08 26 27.8491,,,0,HIP 41378
HIP 41378 d,,,+10 04 49.335,transit,2016.0,116.0,,,1.15,-0.11,1.4,6199.0,,16/06/29,Confirmed planets,,,157.0,,0.353,08 26 27.8491,,,0,HIP 41378
HIP 41378 e,,,+10 04 49.335,transit,2016.0,116.0,,,1.15,-0.11,1.4,6199.0,,16/06/29,Confirmed planets,,,131.0,,0.49200000000000005,08 26 27.8491,,,0,HIP 41378
HIP 41378 f,,,+10 04 49.335,transit,2016.0,116.0,,,1.15,-0.11,1.4,6199.0,,16/06/29,Confirmed planets,,,324.0,,0.91,08 26 27.8491,,,0,HIP 41378
Kepler-439 b,,,+44 02 02.4,transit,2015.0,693.0,,7.2,0.884,0.02,0.866,5431.0,89.95,15/01/28,Confirmed planets,,,178.1396,,0.2,18 43 12.38,0.563,,0,Kepler-439
LkCa 15 b,,150.0,+22 21 03.48,imaging,2015.0,145.0,,0.002,0.97,,,4350.0,50.0,17/12/15,Confirmed planets,,,,0.5,,04 39 17.796,14.7,,0,LkCa 15
LkCa 15 c,,150.0,+22 21 03.48,imaging,2011.0,145.0,,0.002,0.97,,,4350.0,50.0,17/12/15,Confirmed planets,,,,0.5,,04 39 17.796,18.6,,0,LkCa 15
LkCa 15 d,,150.0,+22 21 03.48,imaging,2015.0,145.0,,0.002,0.97,,,4350.0,50.0,17/12/15,Controversial,,,,0.5,,04 39 17.796,24.7,,0,LkCa 15
Kepler-525 b,,,+47 21 32,transit,2016.0,,,,0.95,0.11,1.15,5573.0,,16/05/10,Confirmed planets,,,18.68404933,,0.235,19 44 44,,,0,Kepler-525
Kepler-1170 b,,,+43 46 47,transit,2016.0,,,,0.8,-0.09,0.76,5069.0,,16/05/10,Confirmed planets,,,9.98969327,,0.215,19 28 40,,,0,Kepler-1170
PSO J318.5-22,,,+22 51 36,imaging,2013.0,24.6,,,,,,,,13/10/03,"""Confirmed planets,  Orphan planets""",,,,6.5,1.53,21 14 08,,1160.0,3,PSO J318.5-22
HD 13808 b,,,-53 44 38,RV,2011.0,28.6,0.17,,,,,5150.0,,11/09/12,Confirmed planets,,,14.182,0.0325,,02 12 43,0.1017,617.8,0,HD 13808
HD 13808 c,,,-53 44 38,RV,2011.0,28.6,0.43,,,,,5150.0,,11/09/12,Confirmed planets,,,53.832,0.036000000000000004,,02 12 43,0.2476,391.9,0,HD 13808
Kepler-1004 b,,,+49 47 51.18,transit,2015.0,,0.0,,1.11,-0.04,3.39,4972.0,80.4,17/11/28,Confirmed planets,,,5.28789787,0.18,0.56,19 49 26.232,0.067,,0,Kepler-1004
Kepler-450 b,,,+51 00 48.6,transit,2015.0,,0.02,,1.3459999999999999,,1.57,,,,"""Confirmed planets,  Planets in binary systems,  S-type""",,,28.454851,,0.5479999999999999,19 41 56.76,0.201,,2,Kepler-450
Kepler-450 c,,,+51 00 48.6,transit,2015.0,,0.02,,1.3459999999999999,,1.57,,,,"""Confirmed planets,  Planets in binary systems,  S-type""",,,15.413135,,0.23399999999999999,19 41 56.76,0.134,,2,Kepler-450
Kepler-450 d,,,+51 00 48.6,transit,2015.0,,0.14,,1.3459999999999999,,1.57,,,,"""Confirmed planets,  Planets in binary systems,  S-type""",,,7.514639999999999,,0.0747,19 41 56.76,0.083,,2,Kepler-450
Kepler-1316 b,,,+40 17 35,transit,2016.0,,,,1.04,0.03,1.12,5884.0,,16/05/10,Confirmed planets,,,87.9732136,,0.316,19 55 21,,,0,Kepler-1316
HD 175607 b,,,-66 11 33.65,RV,2015.0,45.27,0.11,10.32,0.71,-0.62,0.7,5392.0,,15/11/15,Confirmed planets,,142.0,8.98,0.0283,,19 01 05.49,,,0,HD 175607
HD 175607 c,,,-66 11 33.65,RV,2015.0,45.27,0.42,10.32,0.71,-0.62,0.7,5392.0,,15/11/15,Controversial,,14.0,1336.61,0.11,,19 01 05.49,,,0,HD 175607
Kepler-1032 b,,,+40 05 52,transit,2016.0,,,,0.77,0.16,0.71,4647.0,,16/05/10,Confirmed planets,,,3.29011795,,0.16699999999999998,19 19 43,,,0,Kepler-1032
Kepler-1616 b,,,+45 18 18,transit,2016.0,,,,1.21,0.02,1.34,6266.0,,16/05/10,Confirmed planets,,,6.76284377,,0.091,19 06 10,,,0,Kepler-1616
HIP 63242 b,,,-65 38 47,RV,2013.0,135.0,0.23,,1.54,-0.31,,4839.0,,13/06/18,Confirmed planets,,118.2,124.6,9.18,,12 57 32,0.565,,0,HIP 63242
Kepler-929 b,,,+41 36 55,transit,2016.0,,,,1.01,-0.04,1.02,5869.0,,16/05/10,Confirmed planets,,,0.92103214,,0.099,19 53 55,,,0,Kepler-929
HD 113337 b,,,+63 36 37,RV,2013.0,36.9,0.46,0.15,1.4,0.07,1.5,,,13/10/10,Confirmed planets,,-140.8,324.0,2.83,,13 01 47,0.92,,0,HD 113337
Kepler-716 b,,,+43 21 50,transit,2016.0,,,,0.83,0.0,0.78,5099.0,,16/05/10,Confirmed planets,,,10.37168453,,0.259,19 21 34,,,0,Kepler-716
KOI-188 b,,,+40 34 04,transit,2014.0,650.0,,5.0,0.93,0.24,0.86,5170.0,87.02,14/10/02,Confirmed planets,,,3.79701816,0.25,0.978,19 21 26,0.0464,1070.0,0,KOI-188
Kepler-174 b,,,+43 49 55,transit,2014.0,360.14,,,0.602,,0.622,4880.0,,14/02/26,Confirmed planets,,,13.98179,,0.17862,19 09 45,,,0,Kepler-174
Kepler-174 c,,,+43 49 55,transit,2014.0,360.14,,,0.602,,0.622,4880.0,,14/02/26,Confirmed planets,,,44.000529,,0.13577999999999998,19 09 45,,,0,Kepler-174
Kepler-174 d,,,+43 49 55,transit,2014.0,360.14,,,0.602,,0.622,4880.0,,14/02/26,Confirmed planets,,,247.35372999999998,,0.19958,19 09 45,,,0,Kepler-174
HD 142245 b,,,+15 25 50,RV,2011.0,109.0,0.0,,1.69,0.23,5.2,4878.0,,11/08/23,Confirmed planets,,,1299.0,1.9,,15 52 56,2.77,292.8,0,HD 142245
Kepler-1098 b,,,+43 13 58,transit,2016.0,,,,0.99,-0.02,0.99,5794.0,,16/05/10,Confirmed planets,,,2.54307286,,0.11599999999999999,19 42 01,,,0,Kepler-1098
Kepler-1070 b,,,+49 18 59,transit,2016.0,,,,1.21,0.03,1.32,6261.0,,16/05/10,Confirmed planets,,,6.2216147,,0.154,19 32 47,,,0,Kepler-1070
Kepler-599 b,,,+41 04 10,transit,2016.0,,,,0.83,-0.02,0.79,5127.0,,16/05/10,Confirmed planets,,,15.65562652,,0.253,19 03 39,,,0,Kepler-599
Kepler-1184 b,,,+46 57 58,transit,2016.0,,,,1.05,-0.04,1.07,5983.0,,16/05/10,Confirmed planets,,,53.5991044,,0.239,19 25 08,,,0,Kepler-1184
Kepler-818 b,,,+39 22 13,transit,2016.0,,,,0.94,-0.08,0.92,5638.0,,16/05/10,Confirmed planets,,,10.03538581,,0.456,19 44 56,,,0,Kepler-818
WASP-18 b,,,-45 40 40,transit,2009.0,100.0,0.0088,,1.24,,1.23,6400.0,86.0,12/07/05,Confirmed planets,,,0.9414518,10.43,1.165,01 37 25,0.02047,2187.5,0,WASP-18
Kepler-897 b,,,+51 41 45,transit,2016.0,,,,1.03,0.04,1.04,5839.0,,16/05/10,Confirmed planets,,,8.0472642,,0.213,19 22 21,,,0,Kepler-897
Kepler-1624 b,,,+37 22 35,transit,2016.0,,,,0.5,0.06,0.47,3636.0,,16/05/10,Confirmed planets,,,3.29030452,,0.509,19 30 19,,,0,Kepler-1624
Kepler-1013 b,,,+44 26 07,transit,2016.0,,,,0.81,0.04,0.76,4954.0,,16/05/10,Confirmed planets,,,18.93054959,,0.192,19 20 59.5,,,0,Kepler-1013
iota Draconis b,,,+58 57 57,RV,2002.0,31.5,0.713,,1.4,0.15,12.8,4445.0,69.9,13/01/26,Confirmed planets,,,510.702,8.82,,15 24 55,1.275,598.2,0,iota Draconis
Kepler-1248 b,,,+51 21 16,transit,2016.0,,,,1.21,0.24,1.21,6149.0,,16/05/10,Confirmed planets,,,7.46725407,,0.105,19 12 14,,,0,Kepler-1248
Kepler-1613 b,,,+43 25 15,transit,2016.0,,,,1.08,0.01,1.12,6005.0,,16/05/10,Confirmed planets,,,1.5184299,,0.18600000000000003,19 19 30,,,0,Kepler-1613
HD 113538 b,,,-52 26 34.5223,RV,2010.0,15.87,0.14,4.3,0.585,-0.24,0.53,4462.0,,15/11/21,Confirmed planets,,74.0,663.2,0.36,,13 04 57.47691,1.24,,0,HD 113538
HD 113538 c,,,-52 26 34.5223,RV,2010.0,15.87,0.2,4.3,0.585,-0.24,0.53,4462.0,,15/11/21,Confirmed planets,,280.0,1818.0,0.93,,13 04 57.47691,2.44,,0,HD 113538
HD 102117 b,,,-58 42 13,RV,2004.0,42.0,0.106,,1.03,0.3,1.27,5672.0,,06/11/25,Confirmed planets,,,20.67,0.172,,11 44 50,0.1532,719.6,0,HD 102117
HIP 74890 b,,,-41 34 46,RV,2016.0,91.6,0.07,,1.74,0.2,5.77,4850.0,,16/03/17,Confirmed planets,,181.9,822.3,2.4,,15 18 17,2.1,,0,HIP 74890
Kepler-306 c,,,+40 36 58,transit,2014.0,772.83,,,0.93,,0.7190000000000001,4954.0,,14/02/26,Confirmed planets,,,7.240193,,0.21416,19 14 09,,,0,Kepler-306
Kepler-306 b,,,+40 36 58,transit,2014.0,772.83,,,0.93,,0.7190000000000001,4954.0,,14/02/26,Confirmed planets,,,4.646186,,0.13852,19 14 09,,,0,Kepler-306
Kepler-306 d,,,+40 36 58,transit,2014.0,772.83,,,0.93,,0.7190000000000001,4954.0,,14/02/26,Confirmed planets,,,17.326644,,0.22509,19 14 09,,,0,Kepler-306
Kepler-306 e,,,+40 36 58,transit,2014.0,772.83,,,0.93,,0.7190000000000001,4954.0,,14/02/26,Confirmed planets,,,44.840975,,0.20686999999999997,19 14 09,,,0,Kepler-306
Kepler-1617 b,,,+46 25 07,transit,2016.0,,,,1.15,0.01,1.22,6167.0,,16/05/10,Confirmed planets,,,27.4785572,,0.107,19 11 45,,,0,Kepler-1617
HD 166724 b,,,-42 34 31,RV,2011.0,42.3,0.7340000000000001,4.0,0.81,-0.09,,5150.0,,12/11/29,Confirmed planets,,202.0,5144.0,3.53,,18 14 00,5.42,,0,HD 166724
Kepler-1044 b,,,+46 39 58,transit,2016.0,,,,1.08,0.04,1.11,5985.0,,16/05/10,Confirmed planets,,,6.77408868,,0.23800000000000002,19 32 35,,,0,Kepler-1044
WASP-65 b,,,+08 31 23,transit,2011.0,310.0,0.0,,0.93,-0.07,1.01,5600.0,88.8,13/07/25,Confirmed planets,,,2.3114242999999997,1.55,1.112,08 53 28,0.0334,1480.0,0,WASP-65
Kepler-1508 b,,,+40 22 30,transit,2016.0,,,,1.14,0.01,1.22,6158.0,,16/05/10,Confirmed planets,,,20.7056504,,0.11900000000000001,19 52 29,,,0,Kepler-1508
Kepler-762 b,,,+47 19 46,transit,2016.0,,,,1.06,0.02,1.08,5944.0,,16/05/10,Confirmed planets,,,3.7705521,,1.131,19 25 06,,,0,Kepler-762
WASP-7 b,,,-39 13 31,transit,2008.0,140.0,0.0,,1.276,,1.432,6400.0,87.03,12/04/08,Confirmed planets,,,4.9546415999999995,0.96,1.33,20 44 10,0.0617,1359.5,0,WASP-7
Kepler-602 b,,,+42 08 31,transit,2016.0,,,,1.08,-0.02,1.13,6062.0,,16/05/10,Confirmed planets,,,15.28469497,,0.18600000000000003,19 44 08,,,0,Kepler-602
Kepler-1313 b,,,+42 13 60,transit,2016.0,,,,0.92,0.0,0.85,5453.0,,16/05/10,Confirmed planets,,,3.83309118,,0.157,19 29 33,,,0,Kepler-1313
Kepler-472 b,,,+39 14 59,transit,2016.0,,,,0.85,0.16,0.78,4996.0,,16/05/10,Confirmed planets,,,4.17625551,,0.287,19 46 06,,,0,Kepler-472
HD 147513 A b,,,-39 11 34,RV,2003.0,12.9,0.26,,0.92,-0.03,1.0,,,12/12/08,"""Confirmed planets,  Planets in binary systems,  S-type""",,,528.4,1.21,,16 24 01,1.32,,2,HD 147513 A
HD 89307 b,,,+12 37 15,RV,2004.0,30.9,0.25,,1.028,-0.14,1.05,5950.0,,12/05/25,Confirmed planets,,,2199.0,2.0,,10 18 21,3.34,146.5,0,HD 89307
Kepler-813 b,,,+48 26 07,transit,2016.0,,,,0.95,-0.13,0.93,5743.0,,16/05/10,Confirmed planets,,,19.12947337,,0.191,19 02 39,,,0,Kepler-813
Kepler-1015 b,,,+43 25 37,transit,2016.0,,,,1.49,0.06,1.81,6769.0,,16/05/10,Confirmed planets,,,16.00494214,,0.317,19 31 02,,,0,Kepler-1015
EPIC 201549860 b,,,+01 17 09.44,transit,2015.0,249.0,0.12,,0.701968,0.05,0.619575,4402.713379,,17/12/19,"""Confirmed planets,  Planets in binary systems,  S-type""",,41.16,5.608352,,0.172,11 20 24.739,0.055,,2,EPIC 201549860
EPIC 201549860 c,,,+01 17 09.44,transit,2016.0,249.0,0.13,,0.701968,0.05,0.619575,4402.713379,88.98,17/12/19,"""Confirmed planets,  Planets in binary systems,  S-type""",,-74.55,2.3999639999999998,,0.11800000000000001,11 20 24.739,0.031,,2,EPIC 201549860
Kepler-1597 b,,,+42 28 52,transit,2016.0,,,,1.25,0.02,1.39,6377.0,,16/05/10,Confirmed planets,,,2.94654179,,0.095,19 12 39,,,0,Kepler-1597
