PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
Kepler-1054 b,,,+44 33 23,transit,2016.0,,,,1.22,0.09,1.34,6209.0,,16/05/10,Confirmed planets,,,4.30655689,,0.235,19 22 24,,,0,Kepler-1054
KOI-1474 b,,0.0,+51 11 05.2,transit,2015.0,,0.833,,1.39,0.14,1.75,6370.0,88.95,15/03/18,Confirmed planets,,95.2,69.7546,2.5,0.9640000000000001,19 41 40.30,0.37,,0,KOI-1474
Kepler-419 c,,4.0,+51 11 05.2,timing,2012.0,,0.184,,1.39,0.14,1.75,6370.0,88.0,15/03/18,Confirmed planets,,275.3,675.47,7.3,,19 41 40.30,1.68,,0,Kepler-419
HD 142022 A b,,,-84 13 53,RV,2005.0,35.87,0.53,,0.99,0.19,0.705,5382.0,10.0,12/12/08,"""Confirmed planets,  Planets in binary systems,  S-type""",,,1928.0,5.1,,16 10 15,3.03,112.3,2,HD 142022 A
HD 50554 b,,,+24 14 44,RV,2002.0,31.03,0.5,,1.04,-0.07,1.11,5902.0,,10/12/30,Confirmed planets,,,1293.0,5.16,,06 54 42,2.41,173.7,0,HD 50554
Kepler-878 b,,,+46 36 12,transit,2016.0,,,,0.81,-0.03,0.77,5044.0,,16/05/10,Confirmed planets,,,25.9422033,,0.172,19 01 11,,,0,Kepler-878
OGLE-2008-BLG-092L b,,,-34 43 36,microlensing,2014.0,7000.0,,,0.58,,,,,14/09/04,"""Confirmed planets,  Planets in binary systems,  S-type""",,,,0.12347045,,17 47 29,13.0,,2,OGLE-2008-BLG-092L
HD 33564 b,,,+79 13 52,RV,2005.0,20.98,0.34,,1.25,-0.12,1.1,6250.0,,10/12/23,Confirmed planets,,,388.0,9.1,,05 22 33,1.1,273.5,0,HD 33564
Kepler-800 b,,,+44 47 43,transit,2016.0,,,,0.85,-0.09,0.82,5315.0,,16/05/10,Confirmed planets,,,14.13176026,,0.254,19 06 18,,,0,Kepler-800
Kepler-1565 b,,,+40 48 25,transit,2016.0,,,,0.76,-0.16,0.73,4940.0,,16/05/10,Confirmed planets,,,1.53818844,,0.106,19 51 49,,,0,Kepler-1565
