PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
Kepler-888 b,0,,0.157,70.6979061,,,,transit,2016.0,0.97,0.9,-0.21,5875.0,Confirmed planets,Kepler-888
HIP 57274 b,0,0.036000000000000004,,8.1352,0.07,0.187,636.3,RV,2011.0,0.73,0.68,0.09,4640.0,Confirmed planets,HIP 57274
HIP 57274 c,0,0.41,,32.03,0.17800000000000002,0.05,399.8,RV,2011.0,0.73,0.68,0.09,4640.0,Confirmed planets,HIP 57274
HIP 57274 d,0,0.527,,431.7,1.01,0.27,167.1,RV,2011.0,0.73,0.68,0.09,4640.0,Confirmed planets,HIP 57274
Kepler-334 c,0,,0.13032,12.758005,,,,transit,2014.0,1.06,1.068,,5828.0,Confirmed planets,Kepler-334
Kepler-334 b,0,,0.10207000000000001,5.470319,,,,transit,2014.0,1.06,1.068,,5828.0,Confirmed planets,Kepler-334
Kepler-334 d,0,,0.12849000000000002,25.098489999999998,,,,transit,2014.0,1.06,1.068,,5828.0,Confirmed planets,Kepler-334
Kepler-297 b,0,,0.26154,38.871826,,,,transit,2014.0,1.04,1.04,-0.12,6150.0,Confirmed planets,Kepler-297
Kepler-297 c,0,0.13,0.66,74.920137,,,,transit,2014.0,1.04,1.04,-0.12,6150.0,Confirmed planets,Kepler-297
Kepler-36 b,0,0.01346359,0.13777999999999999,13.839879999999999,0.1151,,978.8,transit,2012.0,1.071,1.619,,5911.0,Confirmed planets,Kepler-36
Kepler-36 c,0,0.02541726,0.33526835,16.23855,0.1283,,927.8,transit,2012.0,1.071,1.619,,5911.0,Confirmed planets,Kepler-36
HATS-29 b,0,0.653,1.251,4.605874900000001,0.05475,0.079,,transit,2016.0,1.032,1.073,0.16,5670.0,Confirmed planets,HATS-29
Kepler-1428 b,0,,0.146,10.67607169,,,,transit,2016.0,1.28,1.36,0.35,6184.0,Confirmed planets,Kepler-1428
HD 142415 b,0,1.62,,386.3,1.05,0.5,250.5,RV,2003.0,1.09,1.03,0.21,5834.0,Confirmed planets,HD 142415
WASP-107 b,0,0.12,0.94,5.72149,0.055,0.0,,,2017.0,0.69,0.66,0.02,4430.0,Confirmed planets,WASP-107
Kepler-956 b,0,,0.268,5.24867263,,,,transit,2016.0,1.1,1.15,0.02,6040.0,Confirmed planets,Kepler-956
Kepler-110 b,0,,0.16677,12.691112,,,,transit,2014.0,1.067,1.149,,5960.0,Confirmed planets,Kepler-110
Kepler-110 c,0,,0.2014,31.719775,,,,transit,2014.0,1.067,1.149,,5960.0,Confirmed planets,Kepler-110
Kepler-152 b,0,,0.25425,18.207973000000003,,,,transit,2014.0,,0.7240000000000001,,5088.0,Confirmed planets,Kepler-152
Kepler-152 c,0,,0.2178,88.255055,,,,transit,2014.0,,0.7240000000000001,,5088.0,Confirmed planets,Kepler-152
KIC 9663113 b,0,,0.41,572.3847,,,,transit,2015.0,0.975,1.03,-0.28,6065.0,Confirmed planets,KIC 9663113
KOI-179.01,0,,0.2935,20.74028413,,,,transit,2014.0,0.975,1.03,-0.28,6065.0,Controversial,KOI-179
Kepler-1470 b,0,,0.095,16.295090300000002,,,,transit,2016.0,0.8,0.76,-0.01,4961.0,Confirmed planets,Kepler-1470
Kepler-276 c,0,,0.30984,31.884362,,,,transit,2014.0,1.05,1.046,,6105.0,Confirmed planets,Kepler-276
Kepler-276 b,0,,0.26154,14.12841,,,,transit,2014.0,1.05,1.046,,6105.0,Confirmed planets,Kepler-276
Kepler-276 d,0,,0.25608000000000003,48.648869,,,,transit,2014.0,1.05,1.046,,6105.0,Confirmed planets,Kepler-276
Kepler-978 b,0,,0.267,49.622150899999994,,,,transit,2016.0,1.07,1.09,-0.01,6002.0,Confirmed planets,Kepler-978
Kepler-1298 b,0,,0.11699999999999999,7.12811928,,,,transit,2016.0,1.45,2.0,0.13,6339.0,Confirmed planets,Kepler-1298
WASP-25 b,0,0.58,1.26,3.7648300000000003,0.0474,0.0,1135.0,transit,2010.0,1.0,0.95,-0.05,5750.0,Confirmed planets,WASP-25
Kepler-719 b,0,,0.76,5.00731778,,,,transit,2016.0,0.99,0.98,-0.02,5777.0,Confirmed planets,Kepler-719
Kepler-948 b,0,,0.165,7.76846622,,,,transit,2016.0,0.96,0.94,-0.02,5679.0,Confirmed planets,Kepler-948
