PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
Kepler-120 b,0,,0.19593,6.312501,,,,transit,2014.0,0.654,0.534,,4096.0,Confirmed planets,Kepler-120
Kepler-120 c,0,,0.13943,12.794585000000001,,,,transit,2014.0,0.654,0.534,,4096.0,Confirmed planets,Kepler-120
Kepler-1302 b,0,,0.128,8.83922659,,,,transit,2016.0,0.86,0.82,0.04,5236.0,Confirmed planets,Kepler-1302
Kepler-1129 b,0,,0.264,24.3397804,,,,transit,2016.0,1.0,1.0,-0.04,5831.0,Confirmed planets,Kepler-1129
Kepler-1129 c,0,,0.244,76.53695859999999,,,,transit,2016.0,1.0,1.0,-0.04,5831.0,Confirmed planets,Kepler-1129
BD-10 3166 b,0,0.408,,3.48777,0.0427,0.019,,RV,2000.0,0.85,0.81,0.382,5393.0,Confirmed planets,BD-10 3166
omi CrB b,0,1.5,,187.83,0.83,0.191,,RV,2012.0,2.13,10.5,-0.29,4749.0,Confirmed planets,omi CrB
Kepler-390 b,0,,0.07472999999999999,6.738088,,,,transit,2014.0,0.8440000000000001,0.7759999999999999,,5166.0,Confirmed planets,Kepler-390
Kepler-390 c,0,,0.07199,13.060022,,,,transit,2014.0,0.8440000000000001,0.7759999999999999,,5166.0,Confirmed planets,Kepler-390
TAP 26 b,0,1.73,,10.91,0.0975,,,RV,2017.0,1.04,1.36,,,Confirmed planets,TAP 26
1RXS1609 b,0,,1.7,,,,2000.0,imaging,2008.0,0.85,1.35,,4060.0,Confirmed planets,1RXS1609
Kepler-1531 b,0,,0.099,1.13854338,,,,transit,2016.0,1.16,1.27,-0.03,6260.0,Confirmed planets,Kepler-1531
Kepler-1186 b,0,,0.19899999999999998,16.07677615,,,,transit,2016.0,0.95,0.93,0.0,5635.0,Confirmed planets,Kepler-1186
HD 984 b,0,65.0,,,18.0,,2730.0,imaging,2017.0,1.2,,,6315.0,Confirmed planets,HD 984
Kepler-1382 b,0,,0.168,16.3583055,,,,transit,2016.0,1.36,1.72,0.3,6161.0,Confirmed planets,Kepler-1382
Kepler-724 b,0,,0.294,3.31494634,,,,transit,2016.0,0.9,0.86,-0.02,5437.0,Confirmed planets,Kepler-724
HD 219134 b,0,0.012,0.1433,3.0931,0.038474,0.0,,RV,2015.0,0.794,0.778,0.11,4699.0,Confirmed planets,HD 219134
HD 219134 c,0,0.011000000000000001,,6.7635,0.064816,0.0,,RV,2015.0,0.794,0.778,0.11,4699.0,Confirmed planets,HD 219134
HD 219134 d,0,0.027999999999999997,,22.805,0.14574,0.0,,RV,2015.0,0.794,0.778,0.11,4699.0,Confirmed planets,HD 219134
HD 219134 e,0,0.067,,46.71,0.23508,0.0,,RV,2015.0,0.794,0.778,0.11,4699.0,Confirmed planets,HD 219134
HD 219134 f,0,0.034,,94.2,0.3753,0.0,,RV,2015.0,0.794,0.778,0.11,4699.0,Confirmed planets,HD 219134
HD 219134 g,0,0.34,,2247.0,3.11,0.06,,RV,2015.0,0.794,0.778,0.11,4699.0,Confirmed planets,HD 219134
KOI-523.02,0,0.00535,0.26428,36.855,,,,transit,2013.0,0.93,0.98,,6197.0,Confirmed planets,KOI-523
KOI-523.01,0,0.019819999999999997,0.64703,49.412,,,,transit,2013.0,0.93,0.98,,6197.0,Confirmed planets,KOI-523
Kepler-1270 b,0,,0.29600000000000004,6.03356196,,,,transit,2016.0,1.28,3.38,-0.02,5047.0,Confirmed planets,Kepler-1270
61 Vir b,0,0.016,,4.215,0.050200999999999996,0.12,,RV,2009.0,0.95,0.963,0.05,5571.0,Confirmed planets,61 Vir
61 Vir c,0,0.0573,,38.021,0.2175,0.14,,RV,2009.0,0.95,0.963,0.05,5571.0,Confirmed planets,61 Vir
61 Vir d,0,0.0721,,123.01,0.47600000000000003,0.35,,RV,2009.0,0.95,0.963,0.05,5571.0,Confirmed planets,61 Vir
Kepler-1274 b,0,,0.127,6.98152703,,,,transit,2016.0,1.45,2.17,0.11,6179.0,Confirmed planets,Kepler-1274
Kepler-1415 b,0,,0.115,0.63642408,,,,transit,2016.0,0.89,0.84,0.12,5267.0,Confirmed planets,Kepler-1415
CoRoT-13 b,0,1.308,0.885,4.03519,0.051,0.0,1166.5,transit,2010.0,1.09,1.01,0.01,5945.0,Confirmed planets,CoRoT-13
Kepler-960 b,0,,0.204,3.12686223,,,,transit,2016.0,0.77,0.72,0.02,4755.0,Confirmed planets,Kepler-960
Kepler-352 c,0,,0.113,16.332995,,,,transit,2014.0,,0.7809999999999999,,5212.0,Confirmed planets,Kepler-352
Kepler-352 b,0,,0.07837000000000001,10.05537,,,,transit,2014.0,,0.7809999999999999,,5212.0,Confirmed planets,Kepler-352
HD 205739 b,0,1.37,,279.8,0.8959999999999999,0.27,330.2,RV,2008.0,1.22,1.33,0.19,6176.0,Confirmed planets,HD 205739
HD 137388 b,0,0.223,,330.0,0.89,0.36,219.9,RV,2011.0,0.86,0.82,0.18,5240.0,Confirmed planets,HD 137388
Kepler-976 b,0,,0.353,105.9564148,,,,transit,2016.0,0.87,0.83,0.07,5232.0,Confirmed planets,Kepler-976
HD 102195 b,0,0.45,,4.113775,0.049,0.0,963.1,RV,2005.0,0.9259999999999999,0.835,0.05,5291.0,Confirmed planets,HD 102195
Kepler-1383 b,0,,0.126,13.909358300000001,,,,transit,2016.0,1.26,1.44,0.03,6370.0,Confirmed planets,Kepler-1383
Kepler-201 b,0,,0.22418000000000002,25.672082999999997,,,,transit,2014.0,1.177,1.229,,6065.0,Confirmed planets,Kepler-201
Kepler-201 c,0,,0.25972,151.884058,,,,transit,2014.0,1.177,1.229,,6065.0,Confirmed planets,Kepler-201
NN Ser (AB) c,1,6.96,,5654.6797,5.388999999999999,0.142,,timing,2010.0,,,,,"Confirmed planets, Planets in binary systems, P-type",NN Ser (AB)
NN Ser (AB) d,1,1.74,,2793.0,3.358,0.223,,timing,2009.0,,,,,"Confirmed planets, Planets in binary systems, P-type",NN Ser (AB)
Kepler-393 b,0,,0.11756,9.182417,,,,transit,2014.0,1.38,1.382,,6189.0,Confirmed planets,Kepler-393
Kepler-393 c,0,,0.1212,14.613612,,,,transit,2014.0,1.38,1.382,,6189.0,Confirmed planets,Kepler-393
Kepler-1000 b,0,,0.425,120.01812720000001,,,,transit,2016.0,1.4,1.51,0.35,6453.0,Confirmed planets,Kepler-1000
Kepler-1369 b,0,,0.24,25.873148,,,,transit,2016.0,0.99,0.99,0.0,5761.0,Confirmed planets,Kepler-1369
Kepler-911 b,0,,0.23199999999999998,20.310501000000002,,,,transit,2016.0,1.34,1.99,0.03,6112.0,Confirmed planets,Kepler-911
Kepler-535 b,0,,0.21100000000000002,4.90332155,,,,transit,2016.0,1.18,1.27,0.13,6123.0,Confirmed planets,Kepler-535
Kepler-1007 b,0,,0.128,5.18500207,,,,transit,2016.0,0.73,0.7,0.03,4587.0,Confirmed planets,Kepler-1007
6 Lyn b,0,2.21,,874.7739999999999,2.18,0.059000000000000004,,RV,2008.0,1.82,5.2,-0.13,4978.0,Confirmed planets,6 Lyn
EPIC 211969807 b,0,,0.17,1.9741900000000001,,0.18,,,2016.0,0.51,0.48,,3660.0,Confirmed planets,EPIC 211969807
Kepler-368 b,0,,0.29708,26.84768,,,,transit,2014.0,0.97,2.019,,5502.0,Confirmed planets,Kepler-368
Kepler-368 c,0,,0.35359,72.379334,,,,transit,2014.0,0.97,2.019,,5502.0,Confirmed planets,Kepler-368
Kepler-452 b,0,,0.148542,384.843,1.046,,265.0,transit,2015.0,1.037,1.11,0.21,5757.0,Confirmed planets,Kepler-452
Kepler-238 e,0,,0.75274,23.653647,,,,transit,2014.0,0.97,1.43,,5751.0,Confirmed planets,Kepler-238
Kepler-238 d,0,,0.27976999999999996,13.233548999999998,,,,transit,2014.0,0.97,1.43,,5751.0,Confirmed planets,Kepler-238
Kepler-238 c,0,,0.2178,6.155557,,,,transit,2014.0,0.97,1.43,,5751.0,Confirmed planets,Kepler-238
Kepler-238 b,0,,0.15766,2.0908759999999997,,,,transit,2014.0,0.97,1.43,,5751.0,Confirmed planets,Kepler-238
Kepler-238 f,0,,0.25151999999999997,50.444109999999995,,,,transit,2014.0,0.97,1.43,,5751.0,Confirmed planets,Kepler-238
Kepler-835 b,0,,0.249,11.41909375,,,,transit,2016.0,1.08,1.11,0.08,5954.0,Confirmed planets,Kepler-835
HD 217786 b,2,13.0,,1319.0,2.38,0.4,,RV,2010.0,1.02,1.27,-0.135,5966.0,"Confirmed planets, Planets in binary systems, S-type",HD 217786
Kepler-533 b,0,,0.302,28.51120525,,,,transit,2016.0,0.78,0.72,0.01,4758.0,Confirmed planets,Kepler-533
Kepler-1053 b,0,,0.087,2.41435165,,,,transit,2016.0,0.74,0.69,0.1,4529.0,Confirmed planets,Kepler-1053
KIC 10525077 b,0,,0.491,854.0830000000001,,,,transit,2015.0,1.01,1.01,-0.04,6091.0,Confirmed planets,KIC 10525077
KOI-5800.01,0,,0.1213,11.0068817,,,,transit,2015.0,1.01,1.01,-0.04,6091.0,Controversial,KOI-5800
Kepler-1583 b,0,,0.054000000000000006,9.32807355,,,,transit,2016.0,0.94,0.91,-0.07,5645.0,Confirmed planets,Kepler-1583
Kepler-539 b,0,,0.747,125.63243,0.4988,,,transit,2016.0,1.05,0.95,-0.01,5820.0,Confirmed planets,Kepler-539
Kepler-539 c,0,,,1000.0,2.42,,,transit,2016.0,1.05,0.95,-0.01,5820.0,Confirmed planets,Kepler-539
HD 23079 b,0,2.5,,626.0,1.5,0.02,223.8,RV,2001.0,1.1,1.13,-0.24,5848.0,Confirmed planets,HD 23079
WASP-94 A b,2,0.452,1.72,3.9501907,0.055,,,transit,2014.0,1.29,1.36,0.26,6170.0,"Confirmed planets, Planets in binary systems, S-type",WASP-94 A
WASP-94 B b,2,0.618,,2.0083900000000003,0.0335,0.0,,RV,2014.0,1.24,1.35,0.23,6040.0,"Confirmed planets, Planets in binary systems, S-type",WASP-94 B
Kepler-366 b,0,,0.13305,3.2819589999999996,,,,transit,2014.0,1.1,1.048,,6209.0,Confirmed planets,Kepler-366
Kepler-366 c,0,,0.16312000000000001,12.516160000000001,,,,transit,2014.0,1.1,1.048,,6209.0,Confirmed planets,Kepler-366
WASP-97 b,0,1.32,1.13,2.0727599999999997,0.033030000000000004,,1555.0,transit,2013.0,1.12,1.06,0.23,5640.0,Confirmed planets,WASP-97
POTS-1 b,0,2.31,0.941,3.1606296,0.03734,,,transit,2013.0,0.695,0.588,-0.03,4400.0,Confirmed planets,POTS-1
Kepler-871 b,0,,0.33399999999999996,22.0459018,,,,transit,2016.0,1.11,1.14,0.09,5993.0,Confirmed planets,Kepler-871
Kepler-32 b,0,,0.19137,5.901263,,,,transit,2012.0,0.58,0.53,,3900.0,Confirmed planets,Kepler-32
Kepler-32 c,0,,0.20231,8.752212,,,,transit,2012.0,0.58,0.53,,3900.0,Confirmed planets,Kepler-32
Kepler-32 d,0,,0.2178,22.780815,,,,transit,2013.0,0.58,0.53,,3900.0,Confirmed planets,Kepler-32
Kepler-32 e,0,,0.10024,2.896027,,,,transit,2013.0,0.58,0.53,,3900.0,Confirmed planets,Kepler-32
Kepler-32 f,0,,0.0729,0.74295,,,,transit,2013.0,0.58,0.53,,3900.0,Confirmed planets,Kepler-32
KOI-1873.02,0,0.07046000000000001,0.2096,34.921,,,,transit,2013.0,0.98,0.97,,6134.0,Confirmed planets,KOI-1873
KOI-1873.01,0,0.10286,0.4921,71.312,,,,transit,2013.0,0.98,0.97,,6134.0,Confirmed planets,KOI-1873
WASP-22 b,0,0.588,1.158,3.5327312999999996,0.04698,0.0,1297.5,transit,2010.0,1.1,1.13,-0.05,6000.0,Confirmed planets,WASP-22
Kepler-1381 b,0,,0.201,25.384268600000002,,,,transit,2016.0,0.96,0.94,-0.1,5747.0,Confirmed planets,Kepler-1381
HD 41004 A b,2,2.54,,963.0,1.7,0.74,174.8,RV,2004.0,0.4,,-0.09,5035.0,"Confirmed planets, Planets in binary systems, S-type",HD 41004 A
Kepler-1092 b,0,,0.185,58.6017925,,,,transit,2016.0,0.99,1.0,-0.09,5862.0,Confirmed planets,Kepler-1092
Kepler-1350 b,0,,0.225,4.496860400000001,,,,transit,2016.0,0.55,0.53,-0.06,3827.0,Confirmed planets,Kepler-1350
Kepler-1350 c,0,,0.154,1.76678906,,,,transit,2016.0,0.55,0.53,-0.06,3827.0,Confirmed planets,Kepler-1350
HATS-30 b,0,0.706,1.175,3.1743516,0.043539999999999995,0.048,,transit,2016.0,1.093,1.061,0.06,5943.0,Confirmed planets,HATS-30
HD 62509 b,0,2.9,,589.64,1.69,0.02,482.6,RV,2006.0,1.47,9.3,0.19,4666.0,Confirmed planets,HD 62509
Kepler-1532 b,0,,0.12,1.09366356,,,,transit,2016.0,0.91,0.88,-0.1,5559.0,Confirmed planets,Kepler-1532
Kepler-430 b,0,,0.29,35.968,0.2244,,,transit,2015.0,1.166,1.485,,5884.0,Confirmed planets,Kepler-430
Kepler-430 c,0,,0.156,110.979,0.4757,,,transit,2015.0,1.166,1.485,,5884.0,Confirmed planets,Kepler-430
Kepler-975 b,0,,0.132,1.97034246,,,,transit,2016.0,0.8,0.75,0.07,4897.0,Confirmed planets,Kepler-975
Kepler-292 f,0,,0.21416,20.834236999999998,,,,transit,2014.0,0.8340000000000001,0.826,,5299.0,Confirmed planets,Kepler-292
Kepler-292 d,0,,0.20322,7.055679,,,,transit,2014.0,0.8340000000000001,0.826,,5299.0,Confirmed planets,Kepler-292
Kepler-292 e,0,,0.24331999999999998,11.97901,,,,transit,2014.0,0.8340000000000001,0.826,,5299.0,Confirmed planets,Kepler-292
Kepler-292 c,0,,0.13396,3.715335,,,,transit,2014.0,0.8340000000000001,0.826,,5299.0,Confirmed planets,Kepler-292
Kepler-292 b,0,,0.12029000000000001,2.580827,,,,transit,2014.0,0.8340000000000001,0.826,,5299.0,Confirmed planets,Kepler-292
Kepler-374 c,0,,0.10024,3.282807,,,,transit,2014.0,1.03,0.9109999999999999,,5977.0,Confirmed planets,Kepler-374
Kepler-374 d,0,,0.11938,5.028219,,,,transit,2014.0,1.03,0.9109999999999999,,5977.0,Confirmed planets,Kepler-374
Kepler-374 b,0,,0.09386,1.897806,,,,transit,2014.0,1.03,0.9109999999999999,,5977.0,Confirmed planets,Kepler-374
Kepler-1122 b,0,,0.182,42.1917357,,,,transit,2016.0,0.92,0.89,-0.03,5544.0,Confirmed planets,Kepler-1122
JS 183 b,0,1.67,0.32,10.134588,,0.24,,transit,2017.0,0.44,0.44,0.2,3325.0,Confirmed planets,JS 183
Kepler-995 b,0,,0.24100000000000002,28.26731672,,,,transit,2016.0,0.83,0.8,-0.07,5206.0,Confirmed planets,Kepler-995
Kepler-872 b,0,,0.17800000000000002,2.57885507,,,,transit,2016.0,1.05,1.08,0.04,5902.0,Confirmed planets,Kepler-872
WASP-41 b,0,0.94,1.18,3.052404,0.04,,,transit,2010.0,0.93,0.87,0.06,5545.0,Confirmed planets,WASP-41
WASP-41 c,0,3.18,,421.0,1.07,0.294,,RV,2015.0,0.93,0.87,0.06,5545.0,Confirmed planets,WASP-41
HD 20794 b,0,0.008493299999999999,,18.315,0.1207,0.0,661.0,RV,2011.0,0.7,,-0.4,5490.0,Confirmed planets,HD 20794
HD 20794 c,0,0.00754968,,40.114000000000004,0.2036,0.0,508.9,RV,2011.0,0.7,,-0.4,5490.0,Confirmed planets,HD 20794
HD 20794 d,0,0.015099000000000001,,90.309,0.3499,0.0,388.2,RV,2011.0,0.7,,-0.4,5490.0,Confirmed planets,HD 20794
HD 162020 b,0,14.4,,8.428198,0.07400000000000001,0.27699999999999997,656.4,RV,2002.0,0.75,0.71,0.01,4830.0,Confirmed planets,HD 162020
HD 31253 b,0,0.5,,466.0,1.26,0.3,,RV,2010.0,1.23,1.71,0.16,5960.0,Confirmed planets,HD 31253
Kepler-1317 b,0,,0.139,0.56887443,,,,transit,2016.0,0.83,0.79,-0.01,5144.0,Confirmed planets,Kepler-1317
Kepler-910 b,0,,0.073,2.36436901,,,,transit,2016.0,1.26,1.5,0.12,6230.0,Confirmed planets,Kepler-910
HD 43197 b,0,0.6,,327.8,0.92,0.83,239.6,RV,2009.0,0.96,1.0,0.4,5508.0,Confirmed planets,HD 43197
Kepler-1455 b,0,,0.193,49.276764,,,,transit,2016.0,0.62,0.6,-0.02,4075.0,Confirmed planets,Kepler-1455
Kepler-772 b,0,,0.162,12.99207337,,,,transit,2016.0,0.98,1.11,0.03,5714.0,Confirmed planets,Kepler-772
2MASS J0219-3925 B,0,13.9,1.44,,,,1683.0,imaging,2015.0,0.10800000000000001,0.281,,3064.0,Confirmed planets,2MASS J0219-3925
Kepler-1190 b,0,,0.11900000000000001,10.45843441,,,,transit,2016.0,0.76,0.72,-0.02,4730.0,Confirmed planets,Kepler-1190
EPIC 201384232 b,2,,0.23,30.941909999999996,0.1898,,615.0,transit,2015.0,0.97,0.96,-0.14,5850.0,"Confirmed planets, Planets in binary systems, S-type",EPIC 201384232
Kepler-59 b,0,0.0038280000000000002,0.100243,11.8681707,,,,transit,2012.0,1.04,0.94,,6074.0,Confirmed planets,Kepler-59
Kepler-59 c,0,0.012847999999999998,0.18043800000000002,17.980123499999998,,,,transit,2012.0,1.04,0.94,,6074.0,Confirmed planets,Kepler-59
Kepler-828 b,0,,0.135,0.56785714,,,,transit,2016.0,0.81,0.77,-0.02,5039.0,Confirmed planets,Kepler-828
Kepler-881 b,0,,0.159,4.44448017,,,,transit,2016.0,1.06,1.09,0.0,5961.0,Confirmed planets,Kepler-881
Kepler-1247 b,0,,0.20800000000000002,13.71220213,,,,transit,2016.0,0.86,0.82,-0.05,5303.0,Confirmed planets,Kepler-1247
Kepler-342 b,0,,0.20504,15.170318,,,,transit,2014.0,,1.472,,6175.0,Confirmed planets,Kepler-342
Kepler-342 d,0,,0.22691,39.459357000000004,,,,transit,2014.0,,1.472,,6175.0,Confirmed planets,Kepler-342
Kepler-342 c,0,,0.17862,26.234138,,,,transit,2014.0,,1.472,,6175.0,Confirmed planets,Kepler-342
Kepler-342 e,0,,0.079,1.64422461,,,,transit,2016.0,,1.472,,6175.0,Confirmed planets,Kepler-342
HD 171028 b,0,1.98,,550.0,1.32,0.59,296.2,RV,2007.0,0.99,1.95,-0.49,5663.0,Confirmed planets,HD 171028
Kepler-479 b,0,,0.18899999999999997,12.49341307,,,,transit,2016.0,0.86,0.81,-0.02,5247.0,Confirmed planets,Kepler-479
Kepler-1372 b,0,,0.113,1.31155557,,,,transit,2016.0,0.98,0.97,0.05,5677.0,Confirmed planets,Kepler-1372
Kepler-1552 b,0,,0.22,184.771853,,,,transit,2016.0,0.85,0.78,-0.07,5202.0,Confirmed planets,Kepler-1552
HAT-P-33 b,2,0.763,1.827,3.474474,0.0503,0.14800000000000002,1675.2,transit,2011.0,1.403,1.777,0.05,6446.0,"Confirmed planets, Planets in binary systems, S-type",HAT-P-33
Kepler-627 b,0,,0.33299999999999996,40.699444299999996,,,,transit,2016.0,1.3,1.49,0.05,6424.0,Confirmed planets,Kepler-627
Kepler-121 b,0,,0.21324,3.177422,,,,transit,2014.0,0.8590000000000001,0.701,,5311.0,Confirmed planets,Kepler-121
Kepler-121 c,0,,0.20686999999999997,41.008010999999996,,,,transit,2014.0,0.8590000000000001,0.701,,5311.0,Confirmed planets,Kepler-121
Kepler-1083 b,0,,0.3,33.4177993,,,,transit,2016.0,0.81,0.77,-0.02,5049.0,Confirmed planets,Kepler-1083
GJ 1132 b,0,0.005096,0.10571099999999999,1.62893,,,,transit,2015.0,0.18100000000000002,0.207,-0.12,3270.0,Confirmed planets,GJ 1132
Kepler-651 b,0,,0.21100000000000002,21.38521506,,,,transit,2016.0,0.92,0.87,-0.04,5522.0,Confirmed planets,Kepler-651
Kepler-258 b,0,,0.36999,13.197220000000002,,,,transit,2014.0,0.7,0.915,,4942.0,Confirmed planets,Kepler-258
Kepler-258 c,0,,0.32898,33.653079,,,,transit,2014.0,0.7,0.915,,4942.0,Confirmed planets,Kepler-258
WASP-57 b,0,0.672,0.9159999999999999,2.838971,0.0386,0.0,1251.0,transit,2011.0,1.01,1.32,,5600.0,Confirmed planets,WASP-57
Kepler-541 b,0,,0.3,5.08005848,,,,transit,2016.0,1.41,2.06,0.07,6166.0,Confirmed planets,Kepler-541
Kepler-937 b,0,,0.332,67.66882700000001,,,,transit,2016.0,1.15,1.22,0.08,6095.0,Confirmed planets,Kepler-937
Kepler-937 c,0,,0.23800000000000002,153.34336399999998,,,,transit,2016.0,1.15,1.22,0.08,6095.0,Confirmed planets,Kepler-937
WASP-52 b,0,0.46,1.27,1.7497798,,0.0,1315.0,transit,2011.0,0.87,0.79,0.03,5000.0,Confirmed planets,WASP-52
Kepler-615 b,0,,0.155,10.35584657,,,,transit,2016.0,0.73,0.69,-0.07,4655.0,Confirmed planets,Kepler-615
Kepler-1450 b,0,,0.153,54.509416599999994,,,,transit,2016.0,0.71,0.68,-0.02,4524.0,Confirmed planets,Kepler-1450
Kepler-766 b,0,,0.302,6.10027804,,,,transit,2016.0,1.1,1.15,0.09,5992.0,Confirmed planets,Kepler-766
Kepler-343 b,0,,0.21961999999999998,8.96855,,,,transit,2014.0,,1.433,,5807.0,Confirmed planets,Kepler-343
Kepler-343 c,0,,0.18408,23.22182,,,,transit,2014.0,,1.433,,5807.0,Confirmed planets,Kepler-343
HD 1605 b,0,0.96,,577.9,1.48,0.078,,RV,2015.0,1.31,3.8,0.21,4757.0,Confirmed planets,HD 1605
HD 1605 c,0,3.48,,2111.0,3.52,0.098,,RV,2015.0,1.31,3.8,0.21,4757.0,Confirmed planets,HD 1605
HATS-16 b,0,3.27,1.3,2.686502,0.03744,,,transit,2015.0,0.97,1.238,0.1,5738.0,Confirmed planets,HATS-16
HD 40307 b,0,0.01258,,4.3123,0.0468,0.2,804.5,RV,2008.0,0.77,,-0.31,4977.0,Confirmed planets,HD 40307
HD 40307 c,0,0.020761624,,9.6184,0.0799,0.06,617.1,RV,2008.0,0.77,,-0.31,4977.0,Confirmed planets,HD 40307
HD 40307 d,0,0.029884156000000002,,20.432000000000002,0.1321,0.07,479.9,RV,2008.0,0.77,,-0.31,4977.0,Confirmed planets,HD 40307
HD 40307 e,0,0.0110099,,34.62,0.1886,0.15,401.2,RV,2008.0,0.77,,-0.31,4977.0,Confirmed planets,HD 40307
HD 40307 f,0,0.01635764,,51.76,0.247,0.02,351.1,RV,2008.0,0.77,,-0.31,4977.0,Confirmed planets,HD 40307
HD 40307 g,0,0.02233447,,197.8,0.6,0.29,224.0,RV,2008.0,0.77,,-0.31,4977.0,Confirmed planets,HD 40307
HD 45184 b,0,0.04,,5.8872,0.0638,0.3,1045.8,RV,2011.0,,,,5940.0,Confirmed planets,HD 45184
CFBDSIR2149,3,5.5,,,,,,imaging,2012.0,,,,,"Confirmed planets, Orphan planets",CFBDSIR2149
HD 11506 b,0,4.21,,1627.5,2.708,0.37,200.7,RV,2007.0,1.19,1.33,0.31,6058.0,Confirmed planets,HD 11506
HD 11506 c,0,0.36,,223.6,0.721,0.24,388.0,RV,2009.0,1.19,1.33,0.31,6058.0,Confirmed planets,HD 11506
OGLE-2012-BLG-0358L b,0,1.85,,,0.87,,,microlensing,2013.0,0.022000000000000002,,,,Confirmed planets,OGLE-2012-BLG-0358L
Kepler-1528 b,0,,0.13,1.79111021,,,,transit,2016.0,1.03,1.03,0.03,5857.0,Confirmed planets,Kepler-1528
Kepler-1580 b,0,,0.188,56.6449279,,,,transit,2016.0,1.47,2.15,0.12,6228.0,Confirmed planets,Kepler-1580
HATS-19 b,0,0.42700000000000005,1.66,4.569673000000001,0.0589,0.3,,transit,2016.0,1.3030000000000002,1.74,0.24,5896.0,Confirmed planets,HATS-19
Kepler-1287 b,0,,0.13699999999999998,11.47685909,,,,transit,2016.0,0.96,0.94,-0.05,5715.0,Confirmed planets,Kepler-1287
WASP-141 b,0,2.69,1.21,3.310651,0.0469,0.0,,transit,2016.0,1.25,1.37,0.29,5900.0,Confirmed planets,WASP-141
Kepler-588 b,0,,0.235,4.22162536,,,,transit,2016.0,1.01,1.0,0.0,5835.0,Confirmed planets,Kepler-588
PH-2 b,0,,0.9,282.5255,0.828,0.41,281.0,transit,2013.0,0.94,1.0,-0.08,5629.0,Confirmed planets,PH-2
Kepler-1288 b,0,,0.1,2.76122421,,,,transit,2016.0,1.2,1.29,0.14,6132.0,Confirmed planets,Kepler-1288
Kepler-511 b,0,,0.5670000000000001,296.637865,,,,transit,2016.0,1.0,1.2,0.01,5770.0,Confirmed planets,Kepler-511
Kepler-197 c,0,,0.11209000000000001,10.349695,0.08900000000000001,0.08,,transit,2014.0,0.8640000000000001,1.12,,6004.0,Confirmed planets,Kepler-197
Kepler-197 d,0,,0.11118,15.677563000000001,0.11699999999999999,0.03,,transit,2014.0,0.8640000000000001,1.12,,6004.0,Confirmed planets,Kepler-197
Kepler-197 b,0,,0.09295,5.599308000000001,0.059000000000000004,0.02,,transit,2014.0,0.8640000000000001,1.12,,6004.0,Confirmed planets,Kepler-197
Kepler-197 e,0,,0.08292999999999999,25.209715,0.16,0.38,,transit,2014.0,0.8640000000000001,1.12,,6004.0,Confirmed planets,Kepler-197
Kepler-607 b,0,,0.078,0.6381631999999999,,,,transit,2016.0,0.84,0.8,-0.02,5196.0,Confirmed planets,Kepler-607
Kepler-633 b,0,,0.145,8.50340718,,,,transit,2016.0,1.02,1.15,-0.05,5899.0,Confirmed planets,Kepler-633
Kepler-1637 b,0,,0.079,6.10960324,,,,transit,2016.0,1.02,1.02,0.07,5789.0,Confirmed planets,Kepler-1637
Kepler-765 b,0,,0.217,27.665522600000003,,,,transit,2016.0,1.05,1.06,0.04,5901.0,Confirmed planets,Kepler-765
CoRoT-6 b,0,2.96,1.166,8.886593,0.0855,,929.2,transit,2009.0,1.05,1.025,-0.2,6090.0,Confirmed planets,CoRoT-6
HD 221287 b,0,3.09,,456.1,1.25,0.08,259.0,RV,2007.0,1.25,,0.03,6304.0,Confirmed planets,HD 221287
HATS-25 b,0,0.613,1.26,4.2986432,0.051629999999999995,0.08800000000000001,,transit,2016.0,0.9940000000000001,1.107,0.02,5715.0,Confirmed planets,HATS-25
Kepler-1192 b,0,,0.21100000000000002,25.203478699999998,,,,transit,2016.0,0.86,0.83,-0.16,5438.0,Confirmed planets,Kepler-1192
tau Boo A b,2,6.13,,3.3124568,0.049,0.011000000000000001,2000.0,RV,1996.0,1.39,1.42,0.26,6399.0,"Confirmed planets, Planets in binary systems, S-type",tau Boo A
WASP-53 b,0,2.5,1.2,3.3,,,,transit,2011.0,,,,5700.0,Confirmed planets,WASP-53
Kepler-1075 b,0,,0.127,1.52372816,,,,transit,2016.0,0.56,0.54,-0.17,3959.0,Confirmed planets,Kepler-1075
HIP 13044 b,0,1.25,,16.2,0.11599999999999999,0.25,2011.0,RV,2010.0,0.8,6.7,-2.09,6025.0,Controversial,HIP 13044
HD 45652 b,0,0.47,,43.6,0.23,0.38,472.4,RV,2008.0,0.83,,0.29,5312.0,Confirmed planets,HD 45652
OGLE235-MOA53 b,0,2.6,,,5.1,,,microlensing,2004.0,0.63,,,5700.0,Confirmed planets,OGLE235-MOA53
Kepler-301 b,0,,0.12303,2.508553,,,,transit,2014.0,0.97,0.9,,5815.0,Confirmed planets,Kepler-301
Kepler-301 d,0,,0.15947999999999998,13.751242999999999,,,,transit,2014.0,0.97,0.9,,5815.0,Confirmed planets,Kepler-301
