,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
3091,Kepler-297 b,+48 46 39,transit,2014.0,684.83,,1.04,-0.12,1.04,6150.0,Confirmed planets,38.871826,,0.26154,18 52 50,,,0,Kepler-297,5.333150588235164e+26,1.1257308904041696,1.6217839242410677,F,#f8f7ff
3092,Kepler-297 c,+48 46 39,transit,2014.0,684.83,,1.04,-0.12,1.04,6150.0,Confirmed planets,74.920137,0.13,0.66,18 52 50,,,0,Kepler-297,5.333150588235164e+26,1.1257308904041696,1.6217839242410677,F,#f8f7ff
3093,Kepler-36 b,+49 13 54,transit,2012.0,436.937,,1.071,,1.619,5911.0,Confirmed planets,13.83988,0.01346359,0.13778,19 25 00,0.1151,978.8,0,Kepler-36,1.1029459743899846e+27,1.6188990940463754,2.3322665728309264,G,#fff4ea
3094,Kepler-36 c,+49 13 54,transit,2012.0,436.937,,1.071,,1.619,5911.0,Confirmed planets,16.23855,0.02541726,0.33526835,19 25 00,0.1283,927.8,0,Kepler-36,1.1029459743899846e+27,1.6188990940463754,2.3322665728309264,G,#fff4ea
3095,HATS-29 b,-54 06 24,transit,2016.0,351.0,0.079,1.032,0.16,1.073,5670.0,Confirmed planets,4.605874900000001,0.653,1.251,09 00 23,0.05475,,0,HATS-29,4.1015535351516616e+26,0.9872266085906887,1.4222477654678003,G,#fff4ea
3096,Kepler-1428 b,+49 35 42,transit,2016.0,,,1.28,0.35,1.36,6184.0,Confirmed planets,10.67607169,,0.146,19 50 34,,,0,Kepler-1428,9.323359818994607e+26,1.4884316036852236,2.1443086156429296,F,#f8f7ff
3097,HD 142415 b,-60 12 00,RV,2003.0,34.2,0.5,1.09,0.21,1.03,5834.0,Confirmed planets,386.3,1.62,,15 57 40,1.05,250.5,0,HD 142415,4.236008799132101e+26,1.0032775328106338,1.445371525409906,G,#fff4ea
3098,WASP-107 b,-10 51 14,,2017.0,,0.0,0.69,0.02,0.66,4430.0,Confirmed planets,5.72149,0.12,0.94,12 33 33,0.055,,0,WASP-107,5.782551122579205e+25,0.37068277072868816,0.5340240404570292,K,#ffd2a1
3099,Kepler-956 b,+49 03 42,transit,2016.0,,,1.1,0.02,1.15,6040.0,Confirmed planets,5.24867263,,0.268,19 30 07,,,0,Kepler-956,6.06680645532467e+26,1.2006674308402625,1.7297412323805494,F,#f8f7ff
3100,Kepler-110 b,+48 36 10,transit,2014.0,532.42,,1.067,,1.149,5960.0,Confirmed planets,12.691112,,0.16677,19 31 42,,,0,Kepler-110,5.741717242412532e+26,1.1680557206402193,1.6827591802797583,G,#fff4ea
3101,Kepler-110 c,+48 36 10,transit,2014.0,532.42,,1.067,,1.149,5960.0,Confirmed planets,31.719775,,0.2014,19 31 42,,,0,Kepler-110,5.741717242412532e+26,1.1680557206402193,1.6827591802797583,G,#fff4ea
