,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
394,Kepler-595 b,+50 40 23,transit,2016.0,,,0.87,0.08,0.83,5247.0,Confirmed planets,25.30292332,,0.34,19 38 17,,,0,Kepler-595,1.799770572639561e+26,0.6539600725680944,0.9421274141332999,G,#fff4ea
395,Kepler-1319 b,+49 21 59,transit,2016.0,,,0.56,0.44,0.54,3655.0,Confirmed planets,2.88676265,,0.12,19 23 49,,,0,Kepler-1319,1.7937162798367724e+25,0.20645220941996378,0.29742532359677654,M,#ffcc6f
396,CoRoT-26 b,+06 58 11.71,transit,2013.0,1670.0,0.0,1.09,0.01,1.79,5590.0,Confirmed planets,4.20474,0.52,1.26,18 39 00.13,0.0526,,0,CoRoT-26,1.078375465494855e+27,1.6007652921090156,2.3061421156288833,G,#fff4ea
397,WASP-87 b,-52 50 26.995,transit,2014.0,299.0,,1.204,-0.41,1.6269999999999998,6450.0,Confirmed planets,1.682795,2.18,1.385,12 21 17.9274,0.029460000000000007,,0,WASP-87,1.5791764885903724e+27,1.9371265555148847,2.790720885190054,F,#f8f7ff
398,Kepler-838 b,+45 58 34,transit,2016.0,,,0.98,-0.06,0.96,5770.0,Confirmed planets,15.74957994,,0.244,19 01 45,,,0,Kepler-838,3.5209708024576176e+26,0.914689875346164,1.3177477389555166,G,#fff4ea
399,Kepler-488 b,+48 20 42,transit,2016.0,,,1.07,0.03,1.09,5970.0,Confirmed planets,3.12082923,,1.409,18 51 52,,,0,Kepler-488,5.2019602036668744e+26,1.1117987278651928,1.6017125577819717,G,#fff4ea
400,HD 117618 b,-47 16 16,RV,2004.0,38.0,0.42,1.05,0.04,1.19,5861.0,Confirmed planets,25.827,0.17800000000000002,,13 32 25,0.17600000000000002,664.2,0,HD 117618,5.759668833797051e+26,1.1698802701716124,1.6853877171034504,G,#fff4ea
401,HD 117618.02,-47 16 16,RV,2013.0,38.0,0.0,1.05,0.04,1.19,5861.0,Controversial,318.0,0.2,,13 32 25,0.93,,0,HD 117618,5.759668833797051e+26,1.1698802701716124,1.6853877171034504,G,#fff4ea
402,EPIC 201338508 c,-01 52 40.71,transit,2015.0,181.0,,0.61,-0.33,0.57,3930.0,Confirmed planets,10.93241,,0.202,11 17 12.84,0.0818,,0,EPIC 201338508,2.671385829193498e+25,0.25194803120461245,0.3629688678127384,K,#ffd2a1
403,EPIC 201338508 b,-01 52 40.71,transit,2015.0,181.0,,0.61,-0.33,0.57,3930.0,Confirmed planets,5.73594,,0.17,11 17 12.84,0.0532,,0,EPIC 201338508,2.671385829193498e+25,0.25194803120461245,0.3629688678127384,K,#ffd2a1
404,Kepler-591 b,+48 25 54,transit,2016.0,,,0.97,0.01,0.94,5677.0,Confirmed planets,81.16942990000001,,0.302,19 04 06,,,0,Kepler-591,3.1633554136760435e+26,0.8669951232559987,1.2490363063477445,G,#fff4ea
405,GJ 682 b,-44 19 09.1697,RV,2014.0,5.079,0.08,0.27,,,3028.0,Controversial,17.477999999999998,0.014,,17 37 03.66242,0.08,,0,GJ 682,,,,M,#ffcc6f
406,GJ 682 c,-44 19 09.1697,RV,2014.0,5.079,0.1,0.27,,,3028.0,Controversial,57.32,0.027000000000000003,,17 37 03.66242,0.17600000000000002,,0,GJ 682,,,,M,#ffcc6f
407,HD 29021 b,+60 40 34,RV,2017.0,30.6,0.459,0.85,-0.24,0.85,5560.0,Confirmed planets,1362.3,2.4,,04 37 52,2.28,,0,HD 29021,2.3798726759512397e+26,0.7520029104968701,1.0833728039464672,G,#fff4ea
408,Kepler-682 b,+51 44 15,transit,2016.0,,,0.92,-0.05,0.89,5559.0,Confirmed planets,12.61190667,,0.6579999999999999,19 16 27,,,0,Kepler-682,2.607254432466142e+26,0.7871080739518821,1.1339470488521504,G,#fff4ea
409,HD 154857 b,-56 40 50,RV,2004.0,64.2,0.46,1.7180000000000002,-0.31,2.31,5508.0,Confirmed planets,408.6,2.24,,17 11 15,1.291,336.0,0,HD 154857,1.6928418660950191e+27,2.005630177846763,2.889410611479997,G,#fff4ea
410,HD 154857 c,-56 40 50,RV,2014.0,64.2,0.06,1.7180000000000002,-0.31,2.31,5508.0,Confirmed planets,3452.0,2.58,,17 11 15,5.36,,0,HD 154857,1.6928418660950191e+27,2.005630177846763,2.889410611479997,G,#fff4ea
411,HD 6718 b,-08 14 01,RV,2009.0,55.9,0.1,0.96,-0.06,1.02,5745.0,Confirmed planets,2496.0,1.56,,01 07 49,3.56,135.5,0,HD 6718,3.906404221759585e+26,0.963454590640571,1.38800061378448,G,#fff4ea
412,Kepler-1215 b,+48 10 53,transit,2016.0,,,0.95,0.01,0.93,5616.0,Confirmed planets,4.76703963,,0.109,19 49 51,,,0,Kepler-1215,2.9654526817509298e+26,0.8394370997559734,1.2093348467207883,G,#fff4ea
413,Kepler-470 b,+50 22 20,transit,2016.0,,,1.4,0.04,1.66,6613.0,Confirmed planets,24.66919569,,1.288,19 48 02,,,0,Kepler-470,1.8164647394111314e+27,2.077572298841001,2.993054010003397,F,#f8f7ff
414,HATS-31 b,-24 35 38.5,transit,2016.0,872.0,0.233,1.275,0.0,1.87,6050.0,Confirmed planets,3.37796,0.88,1.64,12 46 48.68,0.0478,,0,HATS-31,1.614809949801298e+27,1.9588598665058652,2.8220309742052443,F,#f8f7ff
415,Kepler-54 b,+43 03 22,transit,2014.0,499.51,,0.514,,0.5539999999999999,4252.0,Confirmed planets,8.01026,,0.18864,19 39 05,,,0,Kepler-54,3.457874746179241e+25,0.28664692616157716,0.41295782210884974,K,#ffd2a1
416,Kepler-54 c,+43 03 22,transit,2014.0,499.51,,0.514,,0.5539999999999999,4252.0,Confirmed planets,12.072389,,0.15947999999999998,19 39 05,,,0,Kepler-54,3.457874746179241e+25,0.28664692616157716,0.41295782210884974,K,#ffd2a1
417,Kepler-54 d,+43 03 22,transit,2014.0,499.51,,0.514,,0.5539999999999999,4252.0,Confirmed planets,20.995694,,0.13943,19 39 05,,,0,Kepler-54,3.457874746179241e+25,0.28664692616157716,0.41295782210884974,K,#ffd2a1
418,Kepler-880 b,+43 40 22,transit,2016.0,,,1.46,0.03,1.74,6761.0,Confirmed planets,7.71468975,,0.237,18 47 53,,,0,Kepler-880,2.1805143309270885e+27,2.276261394158513,3.2792954052201986,F,#f8f7ff
419,Mercury,,,,,0.20563661,1.0,1e-08,1.0,5778.0,Solar System,87.97,0.00017387418999999994,0.034901518,,0.38709843,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
420,Venus,,,,,0.00676399,1.0,1e-08,1.0,5778.0,Solar System,224.7,0.0025637401,0.08656491,,0.72332102,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
421,Earth,,,,,0.01673163,1.0,1e-08,1.0,5778.0,Solar System,365.2422,0.0031457007,0.091130294,,1.00000018,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
422,Mars,,,,,0.09336511,1.0,1e-08,1.0,5778.0,Solar System,686.98,0.00033799525000000004,0.048489079,,1.52371243,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
423,Jupiter,,,,,0.04853590000000001,1.0,1e-08,1.0,5778.0,Solar System,4332.82,1.0,1.0,,5.20248019,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
424,Saturn,,,,,0.05550825,1.0,1e-08,1.0,5778.0,Solar System,10755.67,0.299,0.832944,,9.54149883,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
425,Uranus,,,1781.0,,0.0468574,1.0,1e-08,1.0,5778.0,Solar System,30687.153,0.0457,0.362775,,19.18797948,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
426,Neptune,,,1846.0,,0.00895439,1.0,1e-08,1.0,5778.0,Solar System,60190.03,0.053953,0.35221925,,30.06952752,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
427,Pluto,,,1930.0,,0.24885238,1.0,1e-08,1.0,5778.0,Solar System,90553.02,7.7581378e-06,0.016437900000000002,,39.48686035,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
428,Kepler-370 c,+40 54 58,transit,2014.0,1139.98,,,,0.9,5852.0,Confirmed planets,19.02293,,0.17406,19 28 41,,,0,Kepler-370,3.274303962661283e+26,0.8820681829180368,1.270751305960346,G,#fff4ea
429,Kepler-370 b,+40 54 58,transit,2014.0,1139.98,,,,0.9,5852.0,Confirmed planets,4.57953,,0.1449,19 28 41,,,0,Kepler-370,3.274303962661283e+26,0.8820681829180368,1.270751305960346,G,#fff4ea
430,VHS 1256-1257 b,-12 57 23.990,imaging,2015.0,12.7,,,,,,"""Confirmed planets,  Planets in binary systems,  P-type""",,11.2,,12 56 01.922,,880.0,1,VHS 1256-1257,,,,P-type binary,nan
431,WASP-35 b,-06 13 47,transit,2011.0,,0.0,1.07,-0.15,1.09,5990.0,Confirmed planets,3.161575,0.72,1.32,05 04 20,0.04317,1450.0,0,WASP-35,5.2720192875933925e+26,1.1192604433579372,1.6124622763306462,G,#fff4ea
432,HR 8799 b,+21 08 03.3053,imaging,2008.0,39.4,0.0,1.516,-0.47,1.44,7193.0,Confirmed planets,166510.0,5.0,0.7,23 07 28.71507,67.96,1100.0,0,HR 8799,1.9132949728343442e+27,2.1322279172878065,3.071793612977833,F,#f8f7ff
433,HR 8799 c,+21 08 03.3053,imaging,2008.0,39.4,0.0,1.516,-0.47,1.44,7193.0,Confirmed planets,83255.0,7.0,1.0,23 07 28.71507,42.81,1200.0,0,HR 8799,1.9132949728343442e+27,2.1322279172878065,3.071793612977833,F,#f8f7ff
434,HR 8799 d,+21 08 03.3053,imaging,2008.0,39.4,0.0,1.516,-0.47,1.44,7193.0,Confirmed planets,41628.0,7.0,1.1,23 07 28.71507,26.97,1200.0,0,HR 8799,1.9132949728343442e+27,2.1322279172878065,3.071793612977833,F,#f8f7ff
435,HR 8799 e,+21 08 03.3053,imaging,2010.0,39.4,0.0,1.516,-0.47,1.44,7193.0,Confirmed planets,20816.0,7.0,1.0,23 07 28.71507,16.99,1200.0,0,HR 8799,1.9132949728343442e+27,2.1322279172878065,3.071793612977833,F,#f8f7ff
436,Kapteyn b,-45 01 06.2899,RV,2014.0,3.911,0.21,0.281,-0.86,0.29100000000000004,3550.0,Confirmed planets,48.61600000000001,0.015099,,05 11 40.58112,0.168,,0,Kapteyn,4.635708245010549e+24,0.10495441388618645,0.15120254997857363,M,#ffcc6f
437,Kapteyn c,-45 01 06.2899,RV,2014.0,3.911,0.23,0.281,-0.86,0.29100000000000004,3550.0,Confirmed planets,121.54,0.02202,,05 11 40.58112,0.311,,0,Kapteyn,4.635708245010549e+24,0.10495441388618645,0.15120254997857363,M,#ffcc6f
438,Kepler-519 b,+41 23 05,transit,2016.0,,,0.89,0.01,0.8,5260.0,Confirmed planets,24.3078946,,0.187,19 57 17,,,0,Kepler-519,1.6886500437791542e+26,0.6334502149889698,0.9125798929683117,G,#fff4ea
439,Kepler-714 b,+43 16 22,transit,2016.0,,,1.09,0.04,1.12,5995.0,Confirmed planets,8.09888799,,0.863,18 50 48,,,0,Kepler-714,5.584824112740534e+26,1.1519865542418761,1.6596091397479302,G,#fff4ea
440,Kepler-790 b,+38 52 20,transit,2016.0,,,0.84,-0.05,0.8,5208.0,Confirmed planets,13.73469807,,0.194,19 07 40,,,0,Kepler-790,1.6228582260455278e+26,0.6209876321763574,0.8946256761725362,G,#fff4ea
441,MOA-2008-BLG-379L b,-30 11 49,microlensing,2013.0,3300.0,,0.56,,,,Confirmed planets,,4.1,,17 58 49,3.3,,0,MOA-2008-BLG-379L,,,,nan,nan
442,Kepler-1502 b,+39 19 12,transit,2016.0,,,1.44,0.05,1.72,6666.0,Confirmed planets,41.7083629,,0.284,19 44 26,,,0,Kepler-1502,2.0134221225234265e+27,2.18730868878804,3.151145712591803,F,#f8f7ff
443,Kepler-500 b,+43 51 07,transit,2016.0,,,1.02,0.03,1.03,5813.0,Confirmed planets,8.508324400000001,,0.23,19 43 48,,,0,Kepler-500,4.175345770096921e+26,0.9960677595394831,1.4349847673594296,G,#fff4ea
444,Kepler-1048 b,+42 09 57,transit,2016.0,,,0.75,0.01,0.7,4651.0,Confirmed planets,6.92101021,,0.14400000000000002,18 47 36,,,0,Kepler-1048,7.903112117179195e+25,0.43335292435167977,0.6243097815181057,K,#ffd2a1
445,Kepler-1545 b,+47 27 47,transit,2016.0,,,0.84,-0.06,0.8,5201.0,Confirmed planets,163.692349,,0.241,19 55 36,,,0,Kepler-1545,1.614150756877366e+26,0.619319432440394,0.8922223846423222,G,#fff4ea
446,Kepler-484 b,+46 14 57,transit,2016.0,,,0.96,-0.1,0.87,5668.0,Confirmed planets,10.04556931,,0.203,18 57 35,,,0,Kepler-484,2.692616957461671e+26,0.7998894123739458,1.1523604808365437,G,#fff4ea
447,Kepler-149 b,+38 23 02,transit,2014.0,588.12,,0.909,,0.953,5381.0,Confirmed planets,29.198943,,0.38366,19 03 24,,,0,Kepler-149,2.624547725290658e+26,0.7897141092535669,1.13770143295434,G,#fff4ea
448,Kepler-149 d,+38 23 02,transit,2014.0,588.12,,0.909,,0.953,5381.0,Confirmed planets,160.018032,,0.36088,19 03 24,,,0,Kepler-149,2.624547725290658e+26,0.7897141092535669,1.13770143295434,G,#fff4ea
449,Kepler-149 c,+38 23 02,transit,2014.0,588.12,,0.909,,0.953,5381.0,Confirmed planets,55.328328000000006,,0.14672000000000002,19 03 24,,,0,Kepler-149,2.624547725290658e+26,0.7897141092535669,1.13770143295434,G,#fff4ea
450,Kepler-546 b,+40 59 26,transit,2016.0,,,1.11,0.14,1.15,5967.0,Confirmed planets,4.14702026,,0.624,18 53 02,,,0,Kepler-546,5.778785003660466e+26,1.1718200609202691,1.6881822761578205,G,#fff4ea
451,Kepler-1027 b,+42 48 50,transit,2016.0,,,0.91,-0.06,0.82,5436.0,Confirmed planets,1.9078051999999999,,0.079,19 10 17,,,0,Kepler-1027,2.023774884985723e+26,0.6934637457079151,0.9990383709105747,G,#fff4ea
452,Kepler-1174 b,+42 17 56,transit,2016.0,,,1.04,-0.04,1.04,5936.0,Confirmed planets,6.89225223,,0.142,18 47 20,,,0,Kepler-1174,4.6286991359623864e+26,1.0487503926088122,1.510881989445832,G,#fff4ea
453,Kepler-188 c,+44 18 55,transit,2014.0,1201.9,,1.01,,1.141,6021.0,Confirmed planets,5.996553,,0.29071,18 45 07,,,0,Kepler-188,5.8974260345370786e+26,1.183787940506936,1.7054237988755108,F,#f8f7ff
454,Kepler-188 b,+44 18 55,transit,2014.0,1201.9,,1.01,,1.141,6021.0,Confirmed planets,2.061897,,0.1531,18 45 07,,,0,Kepler-188,5.8974260345370786e+26,1.183787940506936,1.7054237988755108,F,#f8f7ff
455,HAT-P-36 b,+44 54 55.18,transit,2012.0,317.0,0.063,1.022,0.26,1.096,5580.0,Confirmed planets,1.327,1.832,1.264,12 33 03.909,0.0238,1669.2,0,HAT-P-36,4.0139744989335974e+26,0.9766297837671538,1.4069814524499198,G,#fff4ea
456,HIP 65891 b,-58 39 51.6746,RV,2015.0,136.0,0.13,2.5,0.16,8.93,5000.0,Confirmed planets,1084.5,6.0,,13 30 25.27310,2.81,,0,HIP 65891,1.7179069636477035e+28,6.389141111638138,9.204514536189242,K,#ffd2a1
457,Kepler-1050 b,+48 37 35,transit,2016.0,,,1.09,0.03,1.13,6010.0,Confirmed planets,15.3787546,,0.14300000000000002,18 51 42,,,0,Kepler-1050,5.742109630965573e+26,1.168095632381291,1.6828166791194992,F,#f8f7ff
458,Kepler-1050 c,+48 37 35,transit,2016.0,,,1.09,0.03,1.13,6010.0,Confirmed planets,21.1284569,,0.132,18 51 42,,,0,Kepler-1050,5.742109630965573e+26,1.168095632381291,1.6828166791194992,F,#f8f7ff
459,Kepler-1114 b,+45 50 05,transit,2016.0,,,0.87,-0.08,0.83,5374.0,Confirmed planets,14.97435694,,0.12,19 56 57,,,0,Kepler-1114,1.9804484304493894e+26,0.6860004951041776,0.9882864408046341,G,#fff4ea
460,SDSS J1110+0116,+01 16 13,imaging,2015.0,19.19,,,,,940.0,Confirmed planets,,11.0,1.18,11 10 10,,,0,SDSS J1110+0116,,,,nan,nan
461,Kepler-1482 b,+48 43 31,transit,2016.0,,,0.88,-0.04,0.84,5381.0,Confirmed planets,12.25383217,,0.09,19 01 15,,,0,Kepler-1482,2.0390470419970386e+26,0.6960753953546656,1.0028008433175717,G,#fff4ea
462,Kepler-15 b,+49 08 24.43,transit,2011.0,,,1.0,0.36,0.98,5514.0,Confirmed planets,4.942782,0.66,0.96,19 44 48.14,0.05714,1027.9,0,Kepler-15,3.0601020052870893e+26,0.8527281731570249,1.228482628274508,G,#fff4ea
463,HD 63454 b,-78 16 44,RV,2005.0,35.8,2e-05,0.8,0.11,,4841.0,Confirmed planets,2.818049,0.38,,07 39 21,0.036000000000000004,926.7,0,HD 63454,,,,K,#ffd2a1
464,Kepler-697 b,+41 20 47,transit,2016.0,,,0.92,-0.01,0.88,5513.0,Confirmed planets,3.70987065,,0.368,18 55 27,,,0,Kepler-697,2.465664709350339e+26,0.7654373845570525,1.1027271756237114,G,#fff4ea
465,Kepler-994 b,+47 24 25,transit,2016.0,,,0.56,-0.13,0.54,3934.0,Confirmed planets,1.15116651,,0.14300000000000002,19 16 17,,,0,Kepler-994,2.4073633638609064e+25,0.23917373385931331,0.34456557955381584,K,#ffd2a1
466,Kepler-1308 b,+38 31 15,transit,2016.0,,,0.35,-0.13,0.34,3468.0,Confirmed planets,2.10433812,,0.046,19 03 43,,,0,Kepler-1308,5.763561004416723e+24,0.11702754842678577,0.16859570821918454,M,#ffcc6f
467,HD 4113 b,-37 58 57.473,RV,2007.0,41.7,0.8999,1.05,0.2,,5688.0,"""Confirmed planets,  Planets in binary systems,  S-type""",526.686,1.602,,00 43 12.5958,1.298,,2,HD 4113,,,,S-type binary,nan
468,Kepler-216 c,+46 07 44,transit,2014.0,994.93,,1.129,,1.26,6091.0,Confirmed planets,17.406669,,0.27704,19 34 54,,,0,Kepler-216,7.53203263809243e+26,1.3378233036682572,1.927334806087879,F,#f8f7ff
469,Kepler-216 b,+46 07 44,transit,2014.0,994.93,,1.129,,1.26,6091.0,Confirmed planets,7.693641,,0.21416,19 34 54,,,0,Kepler-216,7.53203263809243e+26,1.3378233036682572,1.927334806087879,F,#f8f7ff
470,83 Leonis B b,+03 00 47.1551,RV,2004.0,17.79,0.07,0.85,0.3,0.78,4929.0,"""Confirmed planets,  Planets in binary systems,  S-type""",17.054000000000002,0.079,,11 26 45.32180,0.123,,2,83 Leonis B,1.2377735072432371e+26,0.5423295287990444,0.7813068993174228,S-type binary,nan
471,83 Leonis B c,+03 00 47.1551,RV,2010.0,17.79,0.1,0.85,0.3,0.78,4929.0,"""Retracted planet candidate,  Planets in binary systems,  S-type""",4970.0,0.36,,11 26 45.32180,5.4,,2,83 Leonis B,1.2377735072432371e+26,0.5423295287990444,0.7813068993174228,S-type binary,nan
472,Kepler-1527 b,+46 03 39,transit,2016.0,,,1.21,0.07,1.32,6224.0,Confirmed planets,160.129918,,0.426,19 49 39,,,0,Kepler-1527,9.012450726889257e+26,1.4634035753206966,2.1082519928718635,F,#f8f7ff
473,Kepler-1400 b,+45 26 27,transit,2016.0,,,0.83,0.04,0.78,5044.0,Confirmed planets,9.06689421,,0.145,19 05 05,,,0,Kepler-1400,1.3573949277105763e+26,0.5679312565315466,0.8181900219387287,K,#ffd2a1
474,HIP 5158 b,-22 27 11,RV,2009.0,45.0,0.54,0.78,0.1,,4962.0,Confirmed planets,345.63,1.44,,01 06 02,0.89,168.8,0,HIP 5158,,,,K,#ffd2a1
475,HIP 5158 c,-22 27 11,RV,2010.0,45.0,0.14,0.78,0.1,,4962.0,Confirmed planets,9018.0,15.04,,01 06 02,7.7,,0,HIP 5158,,,,K,#ffd2a1
476,Kepler-154 b,+49 53 47,transit,2014.0,882.88,,,,1.001,5690.0,Confirmed planets,33.040532,,0.20595,19 19 07,,,0,Kepler-154,3.620211349298659e+26,0.9274908264996732,1.336189426016536,G,#fff4ea
477,Kepler-154 c,+49 53 47,transit,2014.0,882.88,,,,1.001,5690.0,Confirmed planets,62.303276,,0.26883,19 19 07,,,0,Kepler-154,3.620211349298659e+26,0.9274908264996732,1.336189426016536,G,#fff4ea
478,Kepler-154 d,+49 53 47,transit,2016.0,882.88,,,,1.001,5690.0,Confirmed planets,20.54981883,,0.343,19 19 07,,,0,Kepler-154,3.620211349298659e+26,0.9274908264996732,1.336189426016536,G,#fff4ea
479,Kepler-154 e,+49 53 47,transit,2016.0,882.88,,,,1.001,5690.0,Confirmed planets,3.93276465,,0.134,19 19 07,,,0,Kepler-154,3.620211349298659e+26,0.9274908264996732,1.336189426016536,G,#fff4ea
480,Kepler-154 f,+49 53 47,transit,2016.0,882.88,,,,1.001,5690.0,Confirmed planets,9.91935684,,0.134,19 19 07,,,0,Kepler-154,3.620211349298659e+26,0.9274908264996732,1.336189426016536,G,#fff4ea
481,Kepler-1406 b,+38 54 54,transit,2016.0,,,1.05,0.04,1.12,5892.0,Confirmed planets,11.62905828,,0.098,19 28 20,,,0,Kepler-1406,5.2107915839015546e+26,1.1127420793274003,1.6030715968288334,G,#fff4ea
482,MOA-2010-BLG-353L b,-27 17 35.64,microlensing,2015.0,7170.0,,0.16,,,,Confirmed planets,,0.23,,18 05 12.94,,,0,MOA-2010-BLG-353L,,,,nan,nan
483,KOI-201 b,+42 21 00.56,transit,2015.0,,,1.07,0.48,1.05,5649.0,Confirmed planets,4.22538451,,0.7959999999999999,19 08 31.338,,,0,KOI-201,3.869738355699699e+26,0.9589223943668109,1.3814713063621256,G,#fff4ea
484,Kepler-379 c,+38 56 44,transit,2014.0,758.7,,1.11,,1.306,6054.0,Confirmed planets,62.784697,,0.20869,19 42 48,,,0,Kepler-379,7.897192517699509e+26,1.3698689527364105,1.9735013623613262,F,#f8f7ff
485,Kepler-379 b,+38 56 44,transit,2014.0,758.7,,1.11,,1.306,6054.0,Confirmed planets,20.09838,,0.15128,19 42 48,,,0,Kepler-379,7.897192517699509e+26,1.3698689527364105,1.9735013623613262,F,#f8f7ff
486,Kepler-858 b,+51 12 33,transit,2016.0,,,0.96,-0.04,0.91,5653.0,Confirmed planets,76.13602028,,0.434,19 15 24,,,0,Kepler-858,2.9148447708399198e+26,0.8322434308408644,1.1989712894067948,G,#fff4ea
487,HD 173416 b,+36 33 24,RV,2009.0,135.0,0.21,2.0,,13.5,4683.0,Confirmed planets,323.6,2.7,,18 43 36,1.16,702.5,0,HD 173416,3.021209719057683e+28,8.472919819579298,12.206509807902428,K,#ffd2a1
488,HAT-P-6 b,+42 27 58,transit,2007.0,200.0,0.0,1.29,-0.13,1.46,6570.0,Confirmed planets,3.853003,1.057,1.33,23 39 06,0.05235,1529.9,0,HAT-P-6,1.3689383646604752e+27,1.8035766641336337,2.5983222677473967,F,#f8f7ff
489,Kepler-226 c,+47 52 51,transit,2014.0,1017.85,,0.912,,0.802,5571.0,Confirmed planets,5.3495550000000005,,0.20687,19 29 30,,,0,Kepler-226,2.135492622549011e+26,0.712347160974068,1.0262427583662836,G,#fff4ea
490,Kepler-226 b,+47 52 51,transit,2014.0,1017.85,,0.912,,0.802,5571.0,Confirmed planets,3.940997,,0.14125,19 29 30,,,0,Kepler-226,2.135492622549011e+26,0.712347160974068,1.0262427583662836,G,#fff4ea
491,Kepler-226 d,+47 52 51,transit,2014.0,1017.85,,0.912,,0.802,5571.0,Confirmed planets,8.109044,,0.11118,19 29 30,,,0,Kepler-226,2.135492622549011e+26,0.712347160974068,1.0262427583662836,G,#fff4ea
492,Kepler-1618 b,+45 55 51,transit,2016.0,,,1.41,0.04,1.65,6620.0,Confirmed planets,6.10826019,,0.112,19 40 42,,,0,Kepler-1618,1.80225629531079e+27,2.069430929268725,2.9813251479759173,F,#f8f7ff
493,Kepler-1132 b,+48 25 26,transit,2016.0,,,0.87,-0.01,0.83,5298.0,Confirmed planets,62.8916228,,0.21,19 05 28,,,0,Kepler-1132,1.870771329920422e+26,0.6667346300580419,0.9605310771695446,G,#fff4ea
494,Kepler-400 b,+40 28 48,transit,2014.0,716.62,,1.03,,1.145,5886.0,Confirmed planets,9.024389,,0.15036,19 23 46,,,0,Kepler-400,5.4238629769429925e+26,1.135264388144587,1.6355183553639858,G,#fff4ea
495,Kepler-400 c,+40 28 48,transit,2014.0,716.62,,1.03,,1.145,5886.0,Confirmed planets,17.340823999999998,,0.13577999999999998,19 23 46,,,0,Kepler-400,5.4238629769429925e+26,1.135264388144587,1.6355183553639858,G,#fff4ea
496,Kepler-113 c,+50 56 39,transit,2014.0,255.9,,0.75,0.05,0.69,4725.0,Confirmed planets,8.92507,,0.198664,19 11 59,,,0,Kepler-113,8.179413008548272e+25,0.4408630785489639,0.6351292832742973,K,#ffd2a1
497,Kepler-113 b,+50 56 39,transit,2014.0,255.9,,0.75,0.05,0.69,4725.0,Confirmed planets,4.754,0.036805,0.165857,19 11 59,,,0,Kepler-113,8.179413008548272e+25,0.4408630785489639,0.6351292832742973,K,#ffd2a1
498,Kepler-454 b,+38 13 43.95,transit,2015.0,200.0,0.0,1.028,0.27,1.0659999999999998,5687.0,Confirmed planets,10.57375339,0.02152,0.2114,19 09 54.841,0.0954,,0,Kepler-454,4.0969817311886175e+26,0.986676248232901,1.4214548889567196,G,#fff4ea
499,Kepler-454 c,+38 13 43.95,RV,2015.0,200.0,0.0214,1.028,0.27,1.0659999999999998,5687.0,Confirmed planets,523.9,4.46,,19 09 54.841,1.286,,0,Kepler-454,4.0969817311886175e+26,0.986676248232901,1.4214548889567196,G,#fff4ea
500,Kepler-454 d,+38 13 43.95,RV,2015.0,200.0,,1.028,0.27,1.0659999999999998,5687.0,Controversial,,,,19 09 54.841,,,0,Kepler-454,4.0969817311886175e+26,0.986676248232901,1.4214548889567196,G,#fff4ea
501,KOI-285 b,+41 33 47,transit,2013.0,367.56,0.17,1.209,,1.719,5883.0,Confirmed planets,13.748933,,0.326,19 16 21,0.11800000000000001,934.0,0,KOI-285,1.2200112963860216e+27,1.7026468765810294,2.4529177946844682,G,#fff4ea
502,KOI-285 c,+41 33 47,transit,2013.0,367.56,0.04,1.209,,1.719,5883.0,Confirmed planets,26.72311,,0.21899999999999997,19 16 21,0.184,748.0,0,KOI-285,1.2200112963860216e+27,1.7026468765810294,2.4529177946844682,G,#fff4ea
503,KOI-285 d,+41 33 47,transit,2014.0,367.56,0.07,1.209,,1.719,5883.0,Confirmed planets,49.3568,,0.1844,19 16 21,0.278,608.0,0,KOI-285,1.2200112963860216e+27,1.7026468765810294,2.4529177946844682,G,#fff4ea
504,HD 13189 b,+32 18 59,RV,2005.0,185.0,0.27,4.5,,50.39,5150.0,Confirmed planets,471.6,14.0,,02 09 40,1.85,442.7,0,HD 13189,6.1565064369511136e+29,38.24809672910711,55.10211093684448,K,#ffd2a1
505,HAT-P-27 b,+05 56 50,transit,2011.0,204.0,0.0,0.92,0.14,0.87,5300.0,Confirmed planets,3.039577,0.62,1.02,14 51 04,0.04,1102.7,0,HAT-P-27,2.058537053407411e+26,0.6993941645175649,1.0075820272777316,G,#fff4ea
